record_date,record_time,snapshot_type,source_sequence,source_line_no,available_cash,total_asset,reported_position_market_value,calculated_position_market_value,cash_ratio,raw_security_code,normalized_security_code,security_name,position_quantity,available_quantity,cost_basis,market_price,market_value,is_defensive_etf,pnl,raw_text,parse_status
2026-05-06,,position,0,7,,,195902.0,,,300665.XSHE,300665.XSHE,飞鹿股份,2300,,,8.81,20263.0,False,483.0,"飞鹿股份(300665.XSHE)	2300股	8.81	20,263.00	483.00",parsed
2026-05-06,,position,0,8,,,195902.0,,,301098.XSHE,301098.XSHE,金埔园林,2000,,,9.64,19280.0,False,20.0,"金埔园林(301098.XSHE)	2000股	9.64	19,280.00	20.00",parsed
2026-05-06,,position,0,9,,,195902.0,,,300405.XSHE,300405.XSHE,科隆股份,2800,,,7.18,20104.0,False,336.0,"科隆股份(300405.XSHE)	2800股	7.18	20,104.00	336.00",parsed
2026-05-06,,position,0,10,,,195902.0,,,600561.XSHG,600561.XSHG,江西长运,2800,,,6.99,19572.0,False,-224.0,"江西长运(600561.XSHG)	2800股	6.99	19,572.00	-224.00",parsed
2026-05-06,,position,0,11,,,195902.0,,,600697.XSHG,600697.XSHG,欧亚集团,1500,,,12.7,19050.0,False,90.0,"欧亚集团(600697.XSHG)	1500股	12.7	19,050.00	90.00",parsed
2026-05-06,,position,0,12,,,195902.0,,,301167.XSHE,301167.XSHE,建研设计,1100,,,17.95,19745.0,False,165.0,"建研设计(301167.XSHE)	1100股	17.95	19,745.00	165.00",parsed
2026-05-06,,position,0,13,,,195902.0,,,300500.XSHE,300500.XSHE,启迪设计,1600,,,11.88,19008.0,False,-48.0,"启迪设计(300500.XSHE)	1600股	11.88	19,008.00	-48.00",parsed
2026-05-06,,position,0,14,,,195902.0,,,600455.XSHG,600455.XSHG,博通股份,700,,,28.71,20097.0,False,147.0,"博通股份(600455.XSHG)	700股	28.71	20,097.00	147.00",parsed
2026-05-06,,position,0,15,,,195902.0,,,300417.XSHE,300417.XSHE,南华仪器,1400,,,14.47,20258.0,False,294.0,"南华仪器(300417.XSHE)	1400股	14.47	20,258.00	294.00",parsed
2026-05-06,,position,0,16,,,195902.0,,,300929.XSHE,300929.XSHE,华骐环保,1300,,,14.25,18525.0,False,-52.0,"华骐环保(300929.XSHE)	1300股	14.25	18,525.00	-52.00",parsed
2026-05-06,,cash_summary,0,17,805259.0,,195902.0,,,,,Cash,,,,,805259.0,False,805259.0,"Cash	 	 	805,259.00	0.00",parsed
2026-05-06,,total_summary,0,18,,1001161.0,195902.0,,,,,Total,,,,,1001161.0,False,,"总共:1,001,161.00	1,211.00",parsed
2026-05-07,,position,0,20,,,196586.0,,,300665.XSHE,300665.XSHE,飞鹿股份,2300,,,9.03,20769.0,False,989.0,"飞鹿股份(300665.XSHE)	2300股	9.03	20,769.00	989.00",parsed
2026-05-07,,position,0,21,,,196586.0,,,301098.XSHE,301098.XSHE,金埔园林,2000,,,9.66,19320.0,False,60.0,"金埔园林(301098.XSHE)	2000股	9.66	19,320.00	60.00",parsed
2026-05-07,,position,0,22,,,196586.0,,,300405.XSHE,300405.XSHE,科隆股份,2800,,,7.06,19768.0,False,0.0,"科隆股份(300405.XSHE)	2800股	7.06	19,768.00	0.00",parsed
2026-05-07,,position,0,23,,,196586.0,,,600561.XSHG,600561.XSHG,江西长运,2800,,,7.03,19684.0,False,-112.0,"江西长运(600561.XSHG)	2800股	7.03	19,684.00	-112.00",parsed
2026-05-07,,position,0,24,,,196586.0,,,600697.XSHG,600697.XSHG,欧亚集团,1500,,,12.55,18825.0,False,-135.0,"欧亚集团(600697.XSHG)	1500股	12.55	18,825.00	-135.00",parsed
2026-05-07,,position,0,25,,,196586.0,,,301167.XSHE,301167.XSHE,建研设计,1100,,,17.82,19602.0,False,22.0,"建研设计(301167.XSHE)	1100股	17.82	19,602.00	22.00",parsed
2026-05-07,,position,0,26,,,196586.0,,,300500.XSHE,300500.XSHE,启迪设计,1600,,,11.89,19024.0,False,-32.0,"启迪设计(300500.XSHE)	1600股	11.89	19,024.00	-32.00",parsed
