date,event_time,security,previous_close,open,high,low,close,high_limit,low_limit,engine_rejection_reason,jq_trade_quantity,jq_trade_price,jq_trade_time
2026-05-26,14:00,300665.XSHE,10.029999732971191,10.0,10.100000381469727,9.649999618530273,9.84000015258789,12.040000000000001,8.02,limit down,0,,
2026-05-26,14:00,300405.XSHE,7.090000152587891,7.070000171661377,7.119999885559082,6.849999904632568,6.889999866485596,8.51,5.67,limit down,0,,
2026-05-27,14:00,301098.XSHE,10.199999809265137,10.199999809265137,10.319999694824219,9.899999618530273,10.270000457763672,12.24,8.16,limit down,0,,
2026-05-27,14:00,600455.XSHG,28.360000610351562,28.280000686645508,28.469999313354492,26.950000762939453,27.479999542236328,31.2,25.52,limit down,0,,
2026-05-27,14:00,300665.XSHE,9.84000015258789,9.84000015258789,9.84000015258789,9.399999618530273,9.5,11.81,7.87,limit down,2300,9.84,09:30:00
2026-05-27,14:00,300929.XSHE,13.09000015258789,13.149999618530273,13.220000267028809,12.430000305175781,12.699999809265137,15.71,10.47,limit down,0,,
2026-05-27,14:00,300417.XSHE,14.199999809265137,14.170000076293945,14.25,13.239999771118164,13.75,17.04,11.36,limit down,1100,14.17,09:30:00
2026-05-27,14:00,300405.XSHE,6.889999866485596,6.920000076293945,6.920000076293945,6.590000152587891,6.769999980926514,8.27,5.51,limit down,2800,6.92,09:30:00
2026-05-27,14:00,600561.XSHG,6.480000019073486,6.480000019073486,6.519999980926514,6.059999942779541,6.269999980926514,7.13,5.83,limit down,100,6.48,09:30:00
2026-05-27,14:00,301167.XSHE,16.049999237060547,16.010000228881836,16.100000381469727,15.260000228881836,15.65999984741211,19.26,12.84,limit down,100,16.01,09:30:00
2026-05-27,14:00,600697.XSHG,11.710000038146973,11.630000114440918,11.710000038146973,11.210000038146973,11.399999618530273,12.88,10.540000000000001,limit down,100,11.63,09:30:00
2026-05-27,14:00,300500.XSHE,11.40999984741211,11.359999656677246,11.40999984741211,10.90999984741211,11.140000343322754,13.69,9.13,limit down,1600,11.36,09:30:00
2026-05-27,14:00,603879.XSHG,5.289999961853027,5.300000190734863,5.329999923706055,5.110000133514404,5.210000038146973,5.82,4.76,limit down,3600,5.3,09:30:00
2026-05-29,14:00,301098.XSHE,10.34000015258789,10.289999961853027,10.4399995803833,9.84000015258789,9.9399995803833,12.41,8.27,limit down,0,,
2026-05-29,14:00,600455.XSHG,27.209999084472656,27.329999923706055,27.5,26.200000762939453,26.489999771118164,29.93,24.490000000000002,limit down,0,,
2026-05-29,14:00,300929.XSHE,12.619999885559082,12.640000343322754,12.789999961853027,11.920000076293945,12.069999694824219,15.14,10.1,limit down,0,,
2026-05-29,14:00,300417.XSHE,13.75,13.770000457763672,13.920000076293945,12.869999885559082,13.100000381469727,16.5,11.0,limit down,0,,
2026-05-29,14:00,300405.XSHE,6.800000190734863,6.769999980926514,6.880000114440918,6.329999923706055,6.420000076293945,8.16,5.44,limit down,0,,
2026-05-29,14:00,600561.XSHG,6.230000019073486,6.25,6.309999942779541,6.010000228881836,6.059999942779541,6.8500000000000005,5.61,limit down,0,,
2026-05-29,14:00,301167.XSHE,15.609999656677246,15.5600004196167,15.979999542236328,15.050000190734863,15.270000457763672,18.73,12.49,limit down,0,,
2026-05-29,14:00,300500.XSHE,11.300000190734863,11.329999923706055,11.760000228881836,10.960000038146973,11.069999694824219,13.56,9.040000000000001,limit down,0,,
2026-05-29,14:00,600493.XSHG,6.679999828338623,6.699999809265137,6.730000019073486,6.429999828338623,6.440000057220459,7.3500000000000005,6.01,limit down,0,,
2026-06-01,14:00,301098.XSHE,9.9399995803833,9.9399995803833,10.039999961853027,9.600000381469727,9.680000305175781,11.93,7.95,limit down,2100,9.94,09:30:00
2026-06-01,14:00,600455.XSHG,26.489999771118164,26.610000610351562,27.65999984741211,25.799999237060547,27.420000076293945,29.14,23.84,limit down,0,,
