trade_date,trade_time,source_timestamp,source_sequence,source_line_no,raw_security_code,normalized_security_code,security_name,side,quantity,price,gross_amount,commission,stamp_tax,transfer_fee,other_fee,total_fee,order_id,trade_id,raw_text,parse_status,is_exact_duplicate,is_business_key_duplicate,duplicate_group_id
2026-05-27,09:30:00,2026-05-27 09:30:00,57,77,300665.XSHE,300665.XSHE,飞鹿股份,sell,2300,9.84,-22632.0,27.63,,,,,,,"2026-05-27	09:30:00	飞鹿股份(300665.XSHE)	卖	市价单	-2300股	9.84	-22,632.00	2,004.89	27.63",parsed,False,False,
2026-05-27,09:30:00,2026-05-27 09:30:00,58,78,300417.XSHE,300417.XSHE,南华仪器,sell,1100,14.17,-15587.0,20.59,,,,,,,"2026-05-27	09:30:00	南华仪器(300417.XSHE)	卖	市价单	-1100股	14.17	-15,587.00	-814.83	20.59",parsed,False,False,
2026-05-27,09:30:00,2026-05-27 09:30:00,59,79,300405.XSHE,300405.XSHE,科隆股份,sell,2800,6.92,-19376.0,24.38,,,,,,,"2026-05-27	09:30:00	科隆股份(300405.XSHE)	卖	市价单	-2800股	6.92	-19,376.00	-686.33	24.38",parsed,False,False,
2026-05-27,09:30:00,2026-05-27 09:30:00,60,80,600561.XSHG,600561.XSHG,江西长运,buy,100,6.48,648.0,5.0,,,,,,,2026-05-27	09:30:00	江西长运(600561.XSHG)	买	市价单	100股	6.48	648.00	0.00	5.00,parsed,False,False,
2026-05-27,09:30:00,2026-05-27 09:30:00,61,81,301167.XSHE,301167.XSHE,建研设计,buy,100,16.01,1601.0,5.0,,,,,,,"2026-05-27	09:30:00	建研设计(301167.XSHE)	买	市价单	100股	16.01	1,601.00	0.00	5.00",parsed,False,False,
2026-05-27,09:30:00,2026-05-27 09:30:00,62,82,600697.XSHG,600697.XSHG,欧亚集团,buy,100,11.63,1163.0,5.0,,,,,,,"2026-05-27	09:30:00	欧亚集团(600697.XSHG)	买	市价单	100股	11.63	1,163.00	0.00	5.00",parsed,False,False,
2026-05-27,09:30:00,2026-05-27 09:30:00,63,83,300500.XSHE,300500.XSHE,启迪设计,sell,1600,11.36,-18176.0,23.18,,,,,,,"2026-05-27	09:30:00	启迪设计(300500.XSHE)	卖	市价单	-1600股	11.36	-18,176.00	-880.00	23.18",parsed,False,False,
2026-05-27,09:30:00,2026-05-27 09:30:00,64,84,600493.XSHG,600493.XSHG,凤竹纺织,buy,3000,6.81,20430.0,5.0,,,,,,,"2026-05-27	09:30:00	凤竹纺织(600493.XSHG)	买	市价单	3000股	6.81	20,430.00	0.00	5.00",parsed,False,False,
2026-05-27,09:30:00,2026-05-27 09:30:00,65,85,300535.XSHE,300535.XSHE,达威股份,buy,1100,17.42,19162.0,5.0,,,,,,,"2026-05-27	09:30:00	达威股份(300535.XSHE)	买	市价单	1100股	17.42	19,162.00	0.00	5.00",parsed,False,False,
2026-05-27,09:30:00,2026-05-27 09:30:00,66,86,603879.XSHG,603879.XSHG,永悦科技,buy,3600,5.3,19080.0,5.0,,,,,,,"2026-05-27	09:30:00	永悦科技(603879.XSHG)	买	市价单	3600股	5.3	19,080.00	0.00	5.00",parsed,False,False,
2026-05-27,09:30:00,2026-05-27 09:30:00,67,87,300605.XSHE,300605.XSHE,恒锋信息,buy,1600,11.52,18432.0,5.0,,,,,,,"2026-05-27	09:30:00	恒锋信息(300605.XSHE)	买	市价单	1600股	11.52	18,432.00	0.00	5.00",parsed,False,False,
2026-06-01,09:30:00,2026-06-01 09:30:00,69,89,301098.XSHE,301098.XSHE,金埔园林,sell,2100,9.94,-20874.0,25.87,,,,,,,"2026-06-01	09:30:00	金埔园林(301098.XSHE)	卖	市价单	-2100股	9.94	-20,874.00	-534.61	25.87",parsed,False,False,
