year,gross_cagr,cost_10bp_cagr,cost_20bp_cagr,cost_30bp_cagr,cost_50bp_cagr,gross_max_dd,cost_10bp_max_dd,cost_20bp_max_dd,cost_30bp_max_dd,cost_50bp_max_dd,gross_sharpe,cost_10bp_sharpe,cost_20bp_sharpe,cost_30bp_sharpe,cost_50bp_sharpe
2020,0.33668345638127306,0.31969916297088163,0.3026889670367421,0.2856529099402447,0.2515033949405632,-0.14671067108491842,-0.1512863655746115,-0.1559380260787403,-0.16066756022256024,-0.1703682047240056,1.2458784972340706,1.1680275978666563,1.090952296353808,1.0146899495399622,0.8647476324668942
2021,0.7007666452146395,0.683208958871691,0.6656570848511181,0.6481110804944179,0.6130369159868396,-0.14870727645042003,-0.15068284995102488,-0.15269242223641755,-0.15473687858126983,-0.15893414093715397,3.223162538820151,3.1136543005599764,3.004796551987618,2.896687600593241,2.68308908802083
2022,0.4639226420666116,0.4472344645551598,0.43055315695588625,0.4138787936272359,0.3805512055687239,-0.11793887980988116,-0.11855758280710904,-0.11918082073287617,-0.11980864363031496,-0.12107824822154578,2.051626793244821,1.95766470909746,1.864474191350281,1.7721345800810946,1.5903080552703992
2023,0.4196953266829977,0.40564120554839556,0.3915894254634844,0.37754003558685945,0.34944862793989806,-0.08792285327684024,-0.09292130239143304,-0.09819621016412639,-0.10350552230056287,-0.1144322301424584,2.0729763527674936,1.9801560563282108,1.8882660804612856,1.797384948014267,1.618940267678025
2024,1.0185957637546195,0.9966058992662556,0.9746246811165196,0.9526521986480994,0.9087338076993445,-0.23198943367387326,-0.23455843418716116,-0.2371645300350772,-0.23980853052322326,-0.2493621410919562,2.4554232156543327,2.3829143033460727,2.3110344648037158,2.2398045166673892,2.0993741734035454
2025,0.47826217083557787,0.4636404957259612,0.44902345634980234,0.43441109648841914,0.4052005947068076,-0.1368034848453774,-0.138362272156915,-0.1399464267756516,-0.14155657301316393,-0.14485744173184079,1.9307266350932735,1.8529099275704901,1.7758120533986017,1.6994798927653645,1.5492888742411184
2026,-0.2947639349983068,-0.31193894558584856,-0.32885094414653415,-0.3455015361453284,-0.3780249487123253,-0.16560009573300905,-0.16698863980588285,-0.16838633224734956,-0.16979326376673254,-0.17369895099069943,-1.300780275389164,-1.3647497761748866,-1.4265899858005204,-1.4862456098089851,-1.598814967593975
