scenario,type,cagr,max_drawdown,max_drawdown_start,max_drawdown_end,sharpe,calmar,final_value,total_return,volatility,drawdown_reduction,return_sacrifice,pass_20pct_drawdown,recommended
pos_100,position_scaling,0.48294697385465435,-0.2319894336738736,2024-05-20,2024-06-25,1.755578108506697,2.0817628036179103,11287258.869999925,10.286476717163424,0.2580044554325943,3.3306690738754696e-16,0.00037727686242994274,False,False
pos_80,position_scaling,0.37798296021213984,-0.18864917443129092,2024-05-20,2024-06-25,1.6859348399075087,2.0036290185293515,7186050.535238622,6.185552576445073,0.2064035643460754,-0.043340259242582335,0.10534129050494445,True,True
pos_60,position_scaling,0.2769929187540312,-0.1437723101773568,2024-05-20,2024-06-25,1.5955339371943527,1.9266082489203527,4499596.595235484,3.4992847947992036,0.15480267325955654,-0.08821712349651645,0.2063313319630531,True,True
pos_50,position_scaling,0.2280652124068352,-0.12075914348651651,2024-05-20,2024-06-25,1.5353627291028025,1.8885958099918128,3538447.0072820378,2.538201809896612,0.12900222771629716,-0.11123029018735675,0.2552590383102491,True,False
dd_breaker_10pct,drawdown_circuit_breaker,0.339281167527419,-0.1698539808352122,2024-05-20,2024-06-25,1.4438047292399239,1.997487287958123,6031038.816949979,5.030620894921961,0.2142126017901582,-0.062135452838661065,0.1440430831896653,True,True
dd_breaker_8pct,drawdown_circuit_breaker,0.3394707402204282,-0.1698539808352122,2024-05-20,2024-06-25,1.4840659323750136,1.9986033800984253,6036291.55350255,5.035873267485114,0.20852896995295153,-0.062135452838661065,0.14385351049665607,True,True
monthly_loss_8pct,monthly_loss_protection,0.4559991591835435,-0.22921677043532362,2025-11-18,,1.7450506205345817,1.9893795655419086,10083249.237939073,9.082550517188231,0.2441185110452797,-0.002772663238549633,0.02732509153354079,False,False
