scenario,cost_rate,number_of_closed_trades,win_rate,average_return,median_return,average_win,average_loss,profit_loss_ratio,expectancy_per_trade,total_net_pnl,ending_value_net,total_return_net,cagr_net,max_drawdown,sharpe_net,total_round_trip_cost
gross,0.0,4537,0.6980383513334802,0.10665914961352235,0.06382978723404255,0.18609309389188697,0.07781864690705179,2.391368923622643,0.10665914961352235,11394784.099999998,11287258.869999994,10.286476717163493,0.4833242507170843,-0.23198943367387326,1.7564793387389017,0.0
cost_10bp,0.001,4537,0.6927485122327529,0.10455249046390883,0.06176595744680852,0.1853159121804051,0.07754179537177827,2.3898842075025226,0.10455249046390883,10968929.0779,10861403.847899994,9.860651204771504,0.4740724752748515,-0.23198943367387326,1.7206318137383572,425855.02210000006
cost_20bp,0.002,4537,0.6885607229446771,0.1024458313142953,0.05970212765957447,0.1842493968548139,0.07841357332022705,2.34971305417204,0.1024458313142953,10543074.055799998,10435548.825799994,9.434825692379512,0.4645118137421651,-0.23198943367387326,1.6835874587975492,851710.0442000001
cost_30bp,0.003,4537,0.6834912938064801,0.10033917216468177,0.05763829787234043,0.18341932228087646,0.07906998209041555,2.3197086610079,0.10033917216468177,10117219.0337,10009693.803699993,9.009000179987519,0.45461869334686145,-0.23198943367387326,1.6452549373352192,1277565.0663
