scenario,cost_rate,number_of_closed_trades,win_rate,average_return,median_return,average_win,average_loss,profit_loss_ratio,expectancy_per_trade,total_net_pnl,ending_value_net,total_return_net,cagr_net,max_drawdown,sharpe_net,total_round_trip_cost
gross,0.0,1075,0.746046511627907,0.10696033533341537,0.059726962457337884,0.15758866768253843,0.042710677895034896,3.689678446917324,0.10696033533341537,937604.0,2021851.7100000004,1.0218116781287736,0.44273745601523773,-0.11977036699075094,1.9965435198085622,0.0
cost_10bp,0.001,1075,0.7339534883720931,0.10485337499808194,0.057667235494880544,0.15800139164377877,0.041768251342669066,3.78281078485969,0.10485337499808194,904216.5552000001,1988464.2652000005,0.9884248943870915,0.4302835413972126,-0.11977036699075094,1.936299938411992,33387.4448
cost_20bp,0.002,1075,0.7311627906976744,0.10274641466274853,0.05560750853242321,0.1564403256989388,0.04328615998931216,3.614095723380537,0.10274641466274853,870829.1104,1955076.8204000005,0.9550381106454098,0.4177289827175654,-0.11977036699075094,1.875569509393259,66774.8896
cost_30bp,0.003,1075,0.7274418604651163,0.10063945432741513,0.05354778156996587,0.15507388851574969,0.04464289220936861,3.473652374234087,0.10063945432741513,837441.6656000001,1921689.3756000004,0.9216513269037276,0.40507122671081275,-0.11977036699075094,1.814339881787891,100162.33439999999
