date,jq_total_asset,local_total_asset,asset_diff,asset_diff_pct,jq_cash,local_cash,cash_diff,jq_position_value,local_position_value,position_value_diff,jq_position_count,local_position_count,position_count_diff,jq_daily_return,local_daily_return,daily_return_diff,jq_cum_return,local_cum_return,cum_return_diff,match_status,diff_reason
2025-01-02,999901.0,999901.0,0.0,0.0,9198.1,,,990702.9,,,1,,,,,,0.0,0.0,0.0,exact_match,none
2025-01-03,999980.2,999980.2,0.0,0.0,9198.1,,,990782.1,,,1,,,7.92078415763342e-05,7.92078415763342e-05,0.0,7.92078415763342e-05,7.92078415763342e-05,0.0,exact_match,none
2025-01-06,1000000.0,1000000.0,0.0,0.0,9198.1,,,990801.9,,,1,,,1.9800392047741866e-05,1.9800392047741866e-05,0.0,9.900980197041775e-05,9.900980197041775e-05,0.0,exact_match,none
2025-01-07,1000079.2,1000079.2,0.0,0.0,9198.1,,,990881.1,,,1,,,7.9200000000057e-05,7.9200000000057e-05,0.0,0.00017821764354675196,0.00017821764354675196,0.0,exact_match,none
2025-01-08,1000405.9,1000405.9,0.0,0.0,9198.1,,,991207.8,,,1,,,0.0003266741274092766,0.0003266741274092766,0.0,0.0005049499900491305,0.0005049499900491305,0.0,exact_match,none
2025-01-09,1000287.1,1000287.1,0.0,0.0,9198.1,,,991089.0,,,1,,,-0.000118751798644956,-0.000118751798644956,0.0,0.0003861382276844072,0.0003861382276844072,0.0,exact_match,none
2025-01-10,1000376.2,1000376.2,0.0,0.0,9198.1,,,991178.1,,,1,,,8.907442673211641e-05,8.907442673211641e-05,0.0,0.0004752470494577832,0.0004752470494577832,0.0,exact_match,none
2025-01-13,1000217.8,1000217.8,0.0,0.0,9198.1,,,991019.7,,,1,,,-0.00015834043232931805,-0.00015834043232931805,0.0,0.0003168313663053368,0.0003168313663053368,0.0,exact_match,none
2025-01-14,1000138.6,1000138.6,0.0,0.0,9198.1,,,990940.5,,,1,,,-7.918275399620978e-05,-7.918275399620978e-05,0.0,0.0002376235247290026,0.0002376235247290026,0.0,exact_match,none
2025-01-15,1000326.7,1000326.7,0.0,0.0,9198.1,,,991128.6,,,1,,,0.00018807393295294794,0.00018807393295294794,0.0,0.0004257421484725743,0.0004257421484725743,0.0,exact_match,none
2025-01-16,1000237.6,1000237.6,0.0,0.0,9198.1,,,991039.5,,,1,,,-8.907090053678068e-05,-8.907090053678068e-05,0.0,0.00033663332669942037,0.00033663332669942037,0.0,exact_match,none
2025-01-17,1000316.8,1000316.8,0.0,0.0,9198.1,,,991118.7,,,1,,,7.918118655014794e-05,7.918118655014794e-05,0.0,0.00041584116827575457,0.00041584116827575457,0.0,exact_match,none
