date,sequence,code,side,jq_quantity,local_quantity,quantity_diff,jq_price,local_price,price_diff,jq_gross_amount,local_gross_amount,gross_amount_diff,jq_commission,local_commission,commission_diff,jq_tax,local_tax,tax_diff,match_status,diff_reason,evidence_level
2025-02-13,0,002620.XSHE,buy,5800.0,5800.0,0.0,3.39,3.39,0.0,19662.0,19662.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-02-13,0,002848.XSHE,buy,3100.0,3100.0,0.0,6.63,6.63,0.0,20553.0,20553.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-02-13,0,002856.XSHE,buy,2200.0,2200.0,0.0,9.15,9.15,0.0,20130.0,20130.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-02-13,0,300929.XSHE,buy,2200.0,2200.0,0.0,9.13,9.13,0.0,20086.0,20086.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-02-13,0,600421.XSHG,buy,3300.0,3300.0,0.0,6.42,6.42,0.0,21186.0,21186.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-02-13,0,603813.XSHG,buy,2100.0,2100.0,0.0,10.15,10.15,0.0,21315.0,21315.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-02-13,0,605081.XSHG,buy,2200.0,2200.0,0.0,9.63,9.63,0.0,21186.0,21186.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-02-18,0,000668.XSHE,buy,4200.0,4200.0,0.0,6.0,6.0,0.0,25200.0,25200.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-02-18,0,000691.XSHE,buy,6600.0,6600.0,0.0,3.27,3.27,0.0,21582.0,21582.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-02-18,0,000929.XSHE,buy,3700.0,3700.0,0.0,6.6,6.6,0.0,24420.0,24420.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-02-18,0,002620.XSHE,buy,5600.0,5600.0,0.0,3.62,3.62,0.0,20272.0,20272.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-02-18,0,002848.XSHE,buy,2900.0,2900.0,0.0,7.06,7.06,0.0,20474.0,20474.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-02-18,0,002848.XSHE,sell,600.0,600.0,0.0,7.36,7.35,0.010000000000000675,-4416.0,4410.0,-8826.0,9.42,5.0,4.42,0,0,0,exact_match,none,A
2025-02-18,0,002856.XSHE,buy,2400.0,2400.0,0.0,9.25,9.25,0.0,22200.0,22200.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-02-18,0,300478.XSHE,sell,400.0,400.0,0.0,15.75,15.74,0.009999999999999787,-6300.0,6296.0,-12596.0,11.3,5.0,6.300000000000001,0,0,0,exact_match,none,A
2025-02-18,0,300929.XSHE,buy,2600.0,2600.0,0.0,9.24,9.24,0.0,24024.0,24024.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-02-18,0,600193.XSHG,buy,200.0,200.0,0.0,3.9,3.9,0.0,780.0,780.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-02-18,0,600421.XSHG,sell,1900.0,1900.0,0.0,8.36,8.3,0.05999999999999872,-15884.0,15770.000000000002,-31654.0,20.88,5.0,15.879999999999999,0,0,0,exact_match,none,A
2025-02-18,0,600768.XSHG,buy,2200.0,2200.0,0.0,9.52,9.52,0.0,20944.0,20944.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-02-18,0,603316.XSHG,buy,4200.0,4200.0,0.0,5.06,5.06,0.0,21252.0,21252.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-02-18,0,603813.XSHG,sell,100.0,100.0,0.0,10.79,10.79,0.0,-1079.0,1079.0,-2158.0,6.08,5.0,1.08,0,0,0,exact_match,none,A
2025-02-18,0,605081.XSHG,buy,2200.0,2200.0,0.0,10.01,10.01,0.0,22022.0,22022.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-02-19,0,600421.XSHG,sell,500.0,500.0,0.0,9.08,9.08,0.0,-4540.0,4540.0,-9080.0,9.54,5.0,4.539999999999999,0,0,0,exact_match,none,A
2025-02-20,0,603316.XSHG,sell,100.0,100.0,0.0,5.32,5.32,0.0,-532.0,532.0,-1064.0,5.53,5.0,0.5300000000000002,0,0,0,exact_match,none,A
2025-02-20,0,603813.XSHG,sell,500.0,500.0,0.0,11.86,11.86,0.0,-5930.0,5930.0,-11860.0,10.93,5.0,5.93,0,0,0,exact_match,none,A
2025-02-21,0,000668.XSHE,buy,3900.0,3900.0,0.0,5.92,5.92,0.0,23088.0,23088.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-02-21,0,000691.XSHE,buy,7700.0,7700.0,0.0,3.17,3.17,0.0,24409.0,24409.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-02-21,0,000929.XSHE,buy,2900.0,2900.0,0.0,6.77,6.77,0.0,19633.0,19633.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-02-21,0,002620.XSHE,buy,600.0,600.0,0.0,3.52,3.52,0.0,2112.0,2112.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-02-21,0,002848.XSHE,buy,3800.0,3800.0,0.0,6.96,6.96,0.0,26448.0,26448.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-02-21,0,002856.XSHE,buy,2400.0,2400.0,0.0,9.14,9.14,0.0,21936.0,21936.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-02-21,0,300929.XSHE,buy,2300.0,2300.0,0.0,9.24,9.24,0.0,21252.0,21252.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-02-21,0,600193.XSHG,sell,300.0,300.0,0.0,4.09,4.08,0.009999999999999787,-1227.0,1224.0,-2451.0,6.23,5.0,1.2300000000000004,0,0,0,exact_match,none,A
2025-02-21,0,600421.XSHG,buy,1100.0,1100.0,0.0,7.77,7.77,0.0,8547.0,8547.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-02-21,0,600753.XSHG,buy,3700.0,3700.0,0.0,5.68,5.68,0.0,21016.0,21016.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-02-21,0,600768.XSHG,buy,2200.0,2200.0,0.0,9.66,9.66,0.0,21252.0,21252.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-02-21,0,603813.XSHG,buy,1500.0,1500.0,0.0,12.18,12.18,0.0,18270.0,18270.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-02-21,0,605081.XSHG,buy,2400.0,2400.0,0.0,9.78,9.78,0.0,23472.0,23472.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-02-26,0,000691.XSHE,buy,500.0,500.0,0.0,3.12,3.12,0.0,1560.0,1560.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
2025-02-26,0,000929.XSHE,buy,100.0,100.0,0.0,6.73,6.73,0.0,673.0,673.0,0.0,5.0,5.0,0.0,0,0,0,exact_match,none,A
