category,count,first_date,last_date,sum_asset_impact,max_single_day_impact,evidence_level,is_real_difference,notes
cascade_residual,17,2025-03-11,2025-12-29,85100.0,31176.0,B,True,Cascade after first divergence
cash_rounding,82,2025-02-18,2025-06-18,7184.98,126.87,B,False,"Small diff < 1000, likely rounding"
