date,time,snapshot_type,total_asset,cash,available_cash,position_market_value_reported,position_market_value_calculated,position_count,code,position_qty,available_qty,market_price,market_value,source_file,source_line_no,parse_status
2025-01-02,,account,999901.0,9198.1,9198.1,990702.9,990702.9,1,,,,,,母版持仓&资金记录-20250101-20250618.txt,1,parsed
2025-01-03,,account,999980.2,9198.1,9198.1,990782.1,990782.1,1,,,,,,母版持仓&资金记录-20250101-20250618.txt,5,parsed
2025-01-06,,account,1000000.0,9198.1,9198.1,990801.9,990801.9,1,,,,,,母版持仓&资金记录-20250101-20250618.txt,9,parsed
2025-01-07,,account,1000079.2,9198.1,9198.1,990881.1,990881.1,1,,,,,,母版持仓&资金记录-20250101-20250618.txt,13,parsed
2025-01-08,,account,1000405.9,9198.1,9198.1,991207.8,991207.8,1,,,,,,母版持仓&资金记录-20250101-20250618.txt,17,parsed
2025-01-09,,account,1000287.1,9198.1,9198.1,991089.0,991089.0,1,,,,,,母版持仓&资金记录-20250101-20250618.txt,21,parsed
2025-01-10,,account,1000376.2,9198.1,9198.1,991178.1,991178.1,1,,,,,,母版持仓&资金记录-20250101-20250618.txt,25,parsed
2025-01-13,,account,1000217.8,9198.1,9198.1,991019.7,991019.7,1,,,,,,母版持仓&资金记录-20250101-20250618.txt,29,parsed
2025-01-14,,account,1000138.6,9198.1,9198.1,990940.5,990940.5,1,,,,,,母版持仓&资金记录-20250101-20250618.txt,33,parsed
2025-01-15,,account,1000326.7,9198.1,9198.1,991128.6,991128.6,1,,,,,,母版持仓&资金记录-20250101-20250618.txt,37,parsed
2025-01-16,,account,1000237.6,9198.1,9198.1,991039.5,991039.5,1,,,,,,母版持仓&资金记录-20250101-20250618.txt,41,parsed
2025-01-17,,account,1000316.8,9198.1,9198.1,991118.7,991118.7,1,,,,,,母版持仓&资金记录-20250101-20250618.txt,45,parsed
2025-01-20,,account,1000257.4,9198.1,9198.1,991059.3,991059.3,1,,,,,,母版持仓&资金记录-20250101-20250618.txt,49,parsed
2025-01-21,,account,1000386.1,9198.1,9198.1,991188.0,991188.0,1,,,,,,母版持仓&资金记录-20250101-20250618.txt,53,parsed
2025-01-22,,account,1000475.2,9198.1,9198.1,991277.1,991277.1,1,,,,,,母版持仓&资金记录-20250101-20250618.txt,57,parsed
2025-01-23,,account,1000415.8,9198.1,9198.1,991217.7,991217.7,1,,,,,,母版持仓&资金记录-20250101-20250618.txt,61,parsed
2025-01-24,,account,1000435.6,9198.1,9198.1,991237.5,991237.5,1,,,,,,母版持仓&资金记录-20250101-20250618.txt,65,parsed
2025-01-27,,account,1001079.1,9198.1,9198.1,991881.0,991881.0,1,,,,,,母版持仓&资金记录-20250101-20250618.txt,69,parsed
2025-02-05,,account,1009580.9,804121.9,804121.9,205459.0,205459.0,10,,,,,,母版持仓&资金记录-20250101-20250618.txt,73,parsed
2025-02-06,,account,1013365.88,809130.88,809130.88,204235.0,204235.0,10,,,,,,母版持仓&资金记录-20250101-20250618.txt,86,parsed
2025-02-07,,account,1018218.88,809130.88,809130.88,209088.0,209088.0,10,,,,,,母版持仓&资金记录-20250101-20250618.txt,99,parsed
2025-02-10,,account,1034789.22,616581.22,616581.22,418208.0,418208.0,11,,,,,,母版持仓&资金记录-20250101-20250618.txt,112,parsed
2025-02-11,,account,1035201.22,616581.22,616581.22,418620.0,418620.0,11,,,,,,母版持仓&资金记录-20250101-20250618.txt,126,parsed
2025-02-12,,account,1031578.26,623518.26,623518.26,408060.0,408060.0,11,,,,,,母版持仓&资金记录-20250101-20250618.txt,140,parsed
2025-02-13,,account,1023957.26,417806.26,417806.26,606151.0,606151.0,12,,,,,,母版持仓&资金记录-20250101-20250618.txt,154,parsed
2025-02-14,,account,1023512.26,417806.26,417806.26,605706.0,605706.0,12,,,,,,母版持仓&资金记录-20250101-20250618.txt,169,parsed
2025-02-17,,account,1062697.26,417806.26,417806.26,644891.0,644891.0,12,,,,,,母版持仓&资金记录-20250101-20250618.txt,184,parsed
2025-02-18,,account,1060489.58,222212.58,222212.58,838277.0,838277.0,14,,,,,,母版持仓&资金记录-20250101-20250618.txt,199,parsed
2025-02-19,,account,1075875.04,226743.04,226743.04,849132.0,849132.0,14,,,,,,母版持仓&资金记录-20250101-20250618.txt,216,parsed
2025-02-20,,account,1076043.58,233188.58,233188.58,842855.0,842855.0,14,,,,,,母版持仓&资金记录-20250101-20250618.txt,233,parsed
2025-02-21,,account,1066385.35,2914.35,2914.35,1063471.0,1063471.0,15,,,,,,母版持仓&资金记录-20250101-20250618.txt,250,parsed
2025-02-24,,account,1074639.35,2914.35,2914.35,1071725.0,1071725.0,15,,,,,,母版持仓&资金记录-20250101-20250618.txt,268,parsed
2025-02-25,,account,1074895.35,2914.35,2914.35,1071981.0,1071981.0,15,,,,,,母版持仓&资金记录-20250101-20250618.txt,286,parsed
2025-02-26,,account,1086332.55,862.55,862.55,1085470.0,1085470.0,15,,,,,,母版持仓&资金记录-20250101-20250618.txt,304,parsed
2025-02-27,,account,1083362.55,862.55,862.55,1082500.0,1082500.0,15,,,,,,母版持仓&资金记录-20250101-20250618.txt,322,parsed
2025-02-28,,account,1066193.02,5389.02,5389.02,1060804.0,1060804.0,15,,,,,,母版持仓&资金记录-20250101-20250618.txt,340,parsed
2025-03-03,,account,1065467.6,27081.6,27081.6,1038386.0,1038386.0,14,,,,,,母版持仓&资金记录-20250101-20250618.txt,358,parsed
2025-03-04,,account,1071178.6,27081.6,27081.6,1044097.0,1044097.0,14,,,,,,母版持仓&资金记录-20250101-20250618.txt,375,parsed
2025-03-05,,account,1060936.6,27081.6,27081.6,1033855.0,1033855.0,14,,,,,,母版持仓&资金记录-20250101-20250618.txt,392,parsed
2025-03-06,,account,1076384.7,1926.7,1926.7,1074458.0,1074458.0,13,,,,,,母版持仓&资金记录-20250101-20250618.txt,409,parsed
2025-03-07,,account,1060974.7,1926.7,1926.7,1059048.0,1059048.0,13,,,,,,母版持仓&资金记录-20250101-20250618.txt,425,parsed
2025-03-10,,account,1102867.7,1926.7,1926.7,1100941.0,1100941.0,13,,,,,,母版持仓&资金记录-20250101-20250618.txt,441,parsed
2025-03-11,,account,1106399.39,36487.39,36487.39,1069912.0,1069912.0,11,,,,,,母版持仓&资金记录-20250101-20250618.txt,457,parsed
2025-03-12,,account,1112424.39,36487.39,36487.39,1075937.0,1075937.0,11,,,,,,母版持仓&资金记录-20250101-20250618.txt,471,parsed
2025-03-13,,account,1097351.39,36487.39,36487.39,1060864.0,1060864.0,11,,,,,,母版持仓&资金记录-20250101-20250618.txt,485,parsed
2025-03-14,,account,1118960.89,253.89,253.89,1118707.0,1118707.0,12,,,,,,母版持仓&资金记录-20250101-20250618.txt,499,parsed
2025-03-17,,account,1128623.89,253.89,253.89,1128370.0,1128370.0,12,,,,,,母版持仓&资金记录-20250101-20250618.txt,514,parsed
2025-03-18,,account,1128134.89,253.89,253.89,1127881.0,1127881.0,12,,,,,,母版持仓&资金记录-20250101-20250618.txt,529,parsed
2025-03-19,,account,1125231.41,150.41,150.41,1125081.0,1125081.0,12,,,,,,母版持仓&资金记录-20250101-20250618.txt,544,parsed
2025-03-20,,account,1133342.41,150.41,150.41,1133192.0,1133192.0,12,,,,,,母版持仓&资金记录-20250101-20250618.txt,559,parsed
