date,jq_total_asset,jq_cash,jq_position_value,jq_position_count,is_truncated,local_total_asset,asset_diff,asset_diff_pct,cash_diff,position_value_diff,position_count_diff,jq_daily_return,local_daily_return,daily_return_diff,jq_cum_return,local_cum_return,cum_return_diff,match_status
2020-01-02,1000069.3,8950.6,991118.7,1.0,False,1000069.3,0.0,0.0,,,,,,,0.0,0.0,0.0,exact_match
2020-01-03,1000415.8,8950.6,991465.2,1.0,False,1000415.8,0.0,0.0,,,,0.00034647598921400125,0.00034647598921400125,0.0,0.034647598921400125,0.034647598921400125,0.0,exact_match
2020-01-06,1000455.4,8950.6,991504.8,1.0,False,1000455.4,0.0,0.0,,,,3.958354116351259e-05,3.958354116351259e-05,0.0,0.03860732451241855,0.03860732451241855,0.0,exact_match
2020-01-07,1000574.2,8950.6,991623.6,1.0,False,1000574.2,0.0,0.0,,,,0.00011874592310645582,0.00011874592310645582,0.0,0.050486501285451624,0.050486501285451624,0.0,exact_match
2020-01-08,1000693.0,8950.6,991742.4,1.0,False,1000693.0,0.0,0.0,,,,0.0001187318241866464,0.0001187318241866464,0.0,0.0623656780585069,0.0623656780585069,0.0,exact_match
2020-01-09,1000742.5,8950.6,991791.9,1.0,False,1000742.5,0.0,0.0,,,,4.946572025588125e-05,4.946572025588125e-05,0.0,0.06731533504726883,0.06731533504726883,0.0,exact_match
2020-01-10,1000940.5,8950.6,991989.9,1.0,False,1000940.5,0.0,0.0,,,,0.00019785309407760465,0.00019785309407760465,0.0,0.08711396300236096,0.08711396300236096,0.0,exact_match
2020-01-13,1001019.7,8950.6,992069.1,1.0,False,1001019.7,0.0,0.0,,,,7.912558238976075e-05,7.912558238976075e-05,0.0,0.09503341418439781,0.09503341418439781,0.0,exact_match
2020-01-14,1001168.2,8950.6,992217.6,1.0,False,1001168.2000000002,2.3283064365386963e-10,0.0,,,,0.00014834872880120642,0.00014834872880142846,2.220446049250313e-16,0.10988238515070581,0.10988238515072801,2.220446049250313e-14,exact_match
2020-01-15,1001247.4,8950.6,992296.8,1.0,False,1001247.4,0.0,0.0,,,,7.91075865174129e-05,7.910758651719085e-05,-2.220446049250313e-16,0.11780183633274266,0.11780183633274266,0.0,exact_match
2020-01-16,1001267.2,8950.6,992316.6,1.0,False,1001267.2,0.0,0.0,,,,1.9775332250393518e-05,1.9775332250393518e-05,0.0,0.11978169912825187,0.11978169912825187,0.0,exact_match
2020-01-17,1001633.5,8950.6,992682.9,1.0,False,1001633.5,0.0,0.0,,,,0.00036583641209864126,0.00036583641209864126,0.0,0.156409160845139,0.156409160845139,0.0,exact_match
