date,jq_total_asset,local_total_asset,asset_diff,asset_diff_pct,jq_cash,local_cash,cash_diff,jq_position_value,local_position_value,position_value_diff,jq_position_count,local_position_count,position_count_diff,jq_daily_return,local_daily_return,daily_return_diff,jq_cum_return,local_cum_return,cum_return_diff,match_status,diff_reason
2026-05-06,1001161.0,1001161.0,0.0,0.0,805259.0,,,195902.0,,,10,,,,,,0.0,0.0,0.0,exact_match,none
2026-05-07,1001845.0,1001845.0,0.0,0.0,805259.0,,,196586.0,,,10,,,0.0006832067969086975,0.0006832067969086975,0.0,0.0006832067969086975,0.0006832067969086975,0.0,exact_match,none
2026-05-08,1004250.0,1004250.0,0.0,0.0,805259.0,,,198991.0,,,10,,,0.0024005709466035086,0.0024005709466035086,0.0,0.0030854178298995727,0.0030854178298995727,0.0,exact_match,none
2026-05-11,1006704.0,1006704.0,0.0,0.0,608407.0,,,398297.0,,,11,,,0.002443614637789304,0.002443614637789304,0.0,0.005536572039861687,0.005536572039861687,0.0,exact_match,none
2026-05-12,1002712.0,1002712.0,0.0,0.0,608407.0,,,394305.0,,,11,,,-0.003965415852127285,-0.003965415852127285,0.0,0.0015492013772011592,0.0015492013772011592,0.0,exact_match,none
2026-05-13,1002141.0,1002141.0,0.0,0.0,608407.0,,,393734.0,,,11,,,-0.0005694556363142755,-0.0005694556363142755,0.0,0.0009788635394307743,0.0009788635394307743,0.0,exact_match,none
2026-05-14,1009405.0,1009405.0,0.0,0.0,410485.0,,,598920.0,,,12,,,0.007248481002174234,0.007248481002174234,0.0,0.008234439815374417,0.008234439815374417,0.0,exact_match,none
2026-05-15,1000895.0,1000895.0,0.0,0.0,410485.0,,,590410.0,,,12,,,-0.008430709180160645,-0.008430709180160645,0.0,-0.0002656915321311848,-0.0002656915321311848,0.0,exact_match,none
2026-05-18,1007618.0,1007618.0,0.0,0.0,410485.0,,,597133.0,,,12,,,0.006716988295475623,0.006716988295475623,0.0,0.006449512116432743,0.006449512116432743,0.0,exact_match,none
2026-05-19,1006694.04,1006694.04,0.0,0.0,207908.04,,,798786.0,,,12,,,-0.0009169744883477104,-0.0009169744883477104,0.0,0.005526623590011992,0.005526623590011992,0.0,exact_match,none
2026-05-20,994873.04,994873.04,0.0,0.0,207908.04,,,786965.0,,,12,,,-0.011742395931935823,-0.011742395931935823,0.0,-0.006280668144284407,-0.006280668144284407,0.0,exact_match,none
2026-05-21,964765.04,964765.04,0.0,0.0,207908.04,,,756857.0,,,12,,,-0.030263158000542467,-0.030263158000542467,0.0,-0.036353753292427404,-0.036353753292427404,0.0,exact_match,none
