scenario,type,cagr,max_drawdown,max_drawdown_start,max_drawdown_end,sharpe,calmar,final_value,total_return,volatility,drawdown_reduction,return_sacrifice,pass_20pct_drawdown,recommended
pos_100,position_scaling,0.5081483396045756,-0.1487072764504198,2021-09-09,2021-10-29,2.0992320873717065,3.4171047425106753,2212484.939999997,1.2123316254183556,0.22777297588054204,-2.220446049250313e-16,0.0012755843247116427,True,True
pos_80,position_scaling,0.3950264351922752,-0.12026091460544486,2021-09-09,2021-10-29,2.0032360828865254,3.2847449771048907,1903011.4144117539,0.902879544859295,0.18221838070443358,-0.028446361844975177,0.11439748873701205,True,True
pos_60,position_scaling,0.28767583993705936,-0.09116900303708264,2021-09-09,2021-10-29,1.8854727237425524,3.1554128086719158,1630180.1688355429,0.6300672051782239,0.1366637855283252,-0.05753827341333739,0.2217480839922279,True,True
pos_50,position_scaling,0.23616377592290783,-0.07638022695608249,2021-09-09,2021-10-29,1.8102566832250775,3.091949125245445,1506505.2329910456,0.5064008394128743,0.11388648794027104,-0.07232704949433755,0.27326014800637943,True,False
dd_breaker_10pct,drawdown_circuit_breaker,0.40087807496365513,-0.13100456388062043,2021-09-09,2021-10-29,1.8429753726937126,3.0600313690518472,1918467.9962841112,0.9183350556647536,0.20123875796645926,-0.017702712569799606,0.10854584896563213,True,True
dd_breaker_8pct,drawdown_circuit_breaker,0.3864021166553824,-0.12157934597662323,2021-09-09,2021-10-29,1.8311217937620698,3.1781888079055647,1880341.0605741108,0.8802107619683064,0.19463594276989535,-0.027127930473796802,0.12302180727390488,True,True
monthly_loss_8pct,monthly_loss_protection,0.5002952412462562,-0.15167190652074325,2020-09-09,2021-02-09,2.073421829495588,3.2985359828508116,2190274.8723112475,1.1901230967806407,0.22682082080744145,0.0029646300703232153,0.00912868268303102,True,True
