date,gross_value,net_value,cum_cost,daily_trade_value
2020-01-02,1000069.3,999078.2506,991.0493999999999,991049.3999999999
2020-01-03,1000415.8,999424.7506,991.0493999999999,0.0
2020-01-06,1000455.4,999464.3506,991.0493999999999,0.0
2020-01-07,1000574.2,999583.1505999999,991.0493999999999,0.0
2020-01-08,1000693.0,999701.9506,991.0493999999999,0.0
2020-01-09,1000742.5,999751.4506,991.0493999999999,0.0
2020-01-10,1000940.5,999949.4506,991.0493999999999,0.0
2020-01-13,1001019.7,1000028.6505999999,991.0493999999999,0.0
2020-01-14,1001168.2000000002,1000177.1506000002,991.0493999999999,0.0
2020-01-15,1001247.4,1000256.3506,991.0493999999999,0.0
2020-01-16,1001267.2,1000276.1505999999,991.0493999999999,0.0
2020-01-17,1001633.5,1000642.4506,991.0493999999999,0.0
2020-01-20,1001524.6,1000533.5506,991.0493999999999,0.0
2020-01-21,1001643.4,1000652.3506,991.0493999999999,0.0
2020-01-22,1001940.4,1000949.3506,991.0493999999999,0.0
2020-01-23,1002821.5,1001830.4506,991.0493999999999,0.0
2020-02-03,1000327.5,998148.3447,2179.1553,1188105.9
2020-02-04,1005811.5,1003632.3447,2179.1553,0.0
2020-02-05,1012309.5,1010130.3447,2179.1553,0.0
2020-02-06,1020243.5,1017863.0797,2380.4202999999998,201265.0
2020-02-07,1027211.5,1024831.0797,2380.4202999999998,0.0
2020-02-10,1035165.5,1032785.0797,2380.4202999999998,0.0
2020-02-11,1026276.3100000004,1023688.7207000004,2587.5892999999996,207169.0
2020-02-12,1034461.3100000004,1031873.7207000004,2587.5892999999996,0.0
2020-02-13,1024253.3100000004,1021665.7207000004,2587.5892999999996,0.0
2020-02-14,1025189.8000000004,1022395.5427000003,2794.2572999999998,206668.0
2020-02-17,1057356.8000000005,1054562.5427000006,2794.2572999999998,0.0
2020-02-18,1079507.8000000005,1076713.5427000006,2794.2572999999998,0.0
2020-02-19,1067033.7300000002,1064022.5547000002,3011.1753,216918.0
2020-02-20,1094919.7300000002,1091908.5547000002,3011.1753,0.0
2020-02-21,1101697.0500000005,1098683.1907000006,3013.8593,2684.0
2020-02-24,1100480.5800000003,1097018.8177000002,3461.7623000000003,447903.0
2020-02-25,1082957.5800000003,1079495.8177000002,3461.7623000000003,0.0
2020-02-26,1077271.5800000003,1073809.8177000002,3461.7623000000003,0.0
2020-02-27,1079879.91,1076369.2137,3510.6963000000005,48934.0
2020-02-28,1014735.9100000004,1011225.2137000004,3510.6963000000005,0.0
2020-03-02,1052887.91,1049377.2137,3510.6963000000005,0.0
2020-03-03,1058950.41,1055350.9346999999,3599.4753000000005,88779.0
2020-03-04,1079716.4100000004,1076116.9347000003,3599.4753000000005,0.0
2020-03-05,1107302.41,1103702.9346999999,3599.4753000000005,0.0
2020-03-06,1114446.9300000002,1110756.5847000002,3690.3453000000004,90870.0
2020-03-09,1093408.9300000002,1089718.5847000002,3690.3453000000004,0.0
2020-03-10,1127451.9300000002,1123761.5847000002,3690.3453000000004,0.0
2020-03-11,1150205.4300000002,1146470.5857000002,3734.8443,44499.0
2020-03-12,1142974.4300000002,1139239.5857000002,3734.8443,0.0
2020-03-13,1138330.1000000003,1134577.9237000004,3752.1763,17332.0
2020-03-16,1095676.5000000002,1091711.2447000002,3965.2553000000003,213079.0
2020-03-17,1085658.5000000002,1081693.2447000002,3965.2553000000003,0.0
2020-03-18,1074078.5000000002,1070113.2447000002,3965.2553000000003,0.0
2020-03-19,1098968.64,1094904.4446999999,4064.1953000000003,98940.0
2020-03-20,1131292.4000000004,1127215.9617000003,4076.4383000000003,12243.0
2020-03-23,1099434.4000000004,1095357.9617000003,4076.4383000000003,0.0
2020-03-24,1131527.6800000002,1127202.1587000003,4325.5213,249083.0
2020-03-25,1160239.6800000002,1155914.1587000003,4325.5213,0.0
2020-03-26,1125978.5400000005,1121642.8747000005,4335.665300000001,10144.0
2020-03-27,1138955.9600000002,1134430.4037000001,4525.5563,189891.0
2020-03-30,1109320.9000000004,1104790.2877000005,4530.6123,5056.0
2020-03-31,1105729.3300000003,1101185.1517000003,4544.1783,13566.0
2020-04-01,1101413.05,1094689.1532,6723.8967999999995,2179718.5
2020-04-02,1101423.95,1094700.0532,6723.8967999999995,0.0
2020-04-03,1101707.35,1094983.4532,6723.8967999999995,0.0
2020-04-07,1101718.25,1094994.3532,6723.8967999999995,0.0
2020-04-08,1101805.4500000002,1095081.5532000002,6723.8967999999995,0.0
2020-04-09,1101881.75,1095157.8532,6723.8967999999995,0.0
2020-04-10,1102099.7500000002,1095375.8532000002,6723.8967999999995,0.0
2020-04-13,1102154.25,1095430.3532,6723.8967999999995,0.0
2020-04-14,1102176.05,1095452.1532,6723.8967999999995,0.0
2020-04-15,1102165.15,1095441.2532,6723.8967999999995,0.0
2020-04-16,1102208.75,1095484.8532,6723.8967999999995,0.0
2020-04-17,1102208.75,1095484.8532,6723.8967999999995,0.0
2020-04-20,1102317.75,1095593.8532,6723.8967999999995,0.0
2020-04-21,1102448.55,1095724.6532,6723.8967999999995,0.0
2020-04-22,1102513.9500000002,1095790.0532000002,6723.8967999999995,0.0
2020-04-23,1102535.75,1095811.8532,6723.8967999999995,0.0
2020-04-24,1102677.4500000002,1095953.5532000002,6723.8967999999995,0.0
2020-04-27,1102721.05,1095997.1532,6723.8967999999995,0.0
2020-04-28,1102764.65,1096040.7532,6723.8967999999995,0.0
2020-04-29,1102622.95,1095899.0532,6723.8967999999995,0.0
2020-04-30,1102797.35,1096073.4532,6723.8967999999995,0.0
2020-05-06,1110545.7500000002,1102505.2393000002,8040.5107,1316613.9000000001
2020-05-07,1106388.7500000002,1098348.2393000002,8040.5107,0.0
2020-05-08,1109717.7500000002,1101677.2393000002,8040.5107,0.0
2020-05-11,1106095.7500000002,1097838.8313000002,8256.9187,216408.0
2020-05-12,1103965.7500000002,1095708.8313000002,8256.9187,0.0
2020-05-13,1100782.7500000002,1092525.8313000002,8256.9187,0.0
2020-05-14,1099408.7500000002,1090925.1153000002,8483.6347,226716.0
2020-05-15,1097803.7500000002,1089320.1153000002,8483.6347,0.0
2020-05-18,1078861.7500000002,1070378.1153000002,8483.6347,0.0
2020-05-19,1088173.7500000002,1079466.1033000003,8707.646700000001,224012.0
2020-05-20,1097791.7500000002,1089084.1033000003,8707.646700000001,0.0
2020-05-21,1111033.8000000005,1102301.2073000006,8732.592700000001,24946.0
2020-05-22,1100037.9400000002,1091061.0673000002,8976.872700000002,244280.0
2020-05-25,1080708.4500000002,1071712.0843000002,8996.365700000002,19493.0
2020-05-26,1099845.4500000002,1090849.0843000002,8996.365700000002,0.0
2020-05-27,1094549.8400000003,1085459.0293000003,9090.810700000002,94445.0
2020-05-28,1109767.8400000003,1100677.0293000003,9090.810700000002,0.0
2020-05-29,1129751.87,1120656.0913000002,9095.778700000003,4968.0
2020-06-01,1159505.87,1150355.0333,9150.836700000003,55058.0
2020-06-02,1173281.87,1164131.0333,9150.836700000003,0.0
2020-06-03,1206862.87,1197712.0333,9150.836700000003,0.0
2020-06-04,1240860.3600000003,1231591.7313000003,9268.628700000003,117792.0
2020-06-05,1227087.66,1217708.2622999998,9379.397700000003,110769.0
2020-06-08,1204750.66,1195371.2622999998,9379.397700000003,0.0
2020-06-09,1227972.3800000004,1218445.0163000003,9527.363700000004,147966.0
2020-06-10,1222660.85,1213113.9563000002,9546.893700000004,19530.0
2020-06-11,1211521.85,1201974.2473000002,9547.602700000005,709.0
2020-06-12,1201350.9800000002,1191692.8283000002,9658.151700000006,110549.0
2020-06-15,1198264.9800000002,1188606.8283000002,9658.151700000006,0.0
2020-06-16,1217872.9800000002,1208214.8283000002,9658.151700000006,0.0
2020-06-17,1230908.8600000003,1221072.6683000003,9836.191700000007,178040.0
2020-06-18,1219940.8600000003,1210104.6683000003,9836.191700000007,0.0
2020-06-19,1213320.8600000003,1203484.6683000003,9836.191700000007,0.0
2020-06-22,1203217.7300000002,1193315.6133000003,9902.116700000006,65925.0
2020-06-23,1192677.7300000002,1182775.6133000003,9902.116700000006,0.0
2020-06-24,1186122.7300000002,1176220.6133000003,9902.116700000006,0.0
2020-06-29,1181924.6800000002,1171924.2563000002,10000.423700000007,98307.0
2020-06-30,1209943.6800000002,1199943.2563000002,10000.423700000007,0.0
2020-07-01,1211391.7800000005,1201384.4613000005,10007.318700000007,6895.0
2020-07-02,1225654.2700000005,1215443.2783000006,10210.991700000008,203673.0
2020-07-03,1232635.2700000005,1222424.2783000006,10210.991700000008,0.0
2020-07-06,1276023.2700000005,1265812.2783000006,10210.991700000008,0.0
2020-07-07,1278105.7800000005,1267770.5423000006,10335.237700000007,124246.0
2020-07-08,1292681.7800000005,1282346.5423000006,10335.237700000007,0.0
2020-07-09,1313212.7800000005,1302877.5423000006,10335.237700000007,0.0
2020-07-10,1296711.7900000005,1286212.1343000005,10499.655700000007,164418.0
2020-07-13,1328608.7900000005,1318109.1343000005,10499.655700000007,0.0
2020-07-14,1324241.7900000005,1313742.1343000005,10499.655700000007,0.0
2020-07-15,1286360.9600000002,1275740.0143000002,10620.945700000007,121290.0
2020-07-16,1256137.9600000002,1245517.0143000002,10620.945700000007,0.0
2020-07-17,1248509.9600000002,1237889.0143000002,10620.945700000007,0.0
2020-07-20,1289954.5500000005,1279270.5263000005,10684.023700000007,63078.0
2020-07-21,1292677.5500000005,1281993.5263000005,10684.023700000007,0.0
2020-07-22,1284033.5500000005,1273349.5263000005,10684.023700000007,0.0
2020-07-23,1286153.7200000002,1275326.2453000003,10827.474700000006,143451.0
2020-07-24,1259130.7200000002,1248303.2453000003,10827.474700000006,0.0
2020-07-27,1258882.7200000002,1248055.2453000003,10827.474700000006,0.0
2020-07-28,1253854.7300000002,1242884.6583000002,10970.071700000006,142597.0
2020-07-29,1270266.7300000002,1259296.6583000002,10970.071700000006,0.0
2020-07-30,1278254.7300000002,1267284.6583000002,10970.071700000006,0.0
2020-07-31,1293739.9700000002,1282596.1573000003,11143.812700000006,173741.0
2020-08-03,1314668.9700000002,1303525.1573000003,11143.812700000006,0.0
2020-08-04,1311648.9700000002,1300505.1573000003,11143.812700000006,0.0
2020-08-05,1332799.4700000002,1321574.5703000003,11224.899700000005,81087.0
2020-08-06,1342063.4800000002,1330837.5943000002,11225.885700000006,986.0
