tag,n_fills,ending_value,total_return,annual_return,sharpe,max_drawdown,max_dd_duration_days,volatility,calmar,annual_turnover,win_rate,trading_days
baseline,641,1498467.7799999998,0.4986161429981566,0.5212390269121752,2.055746815108472,-0.137124067750277,21,0.23895891425046661,3.8012220280791826,13.799975985185183,0.8521739130434782,243
baseline_2024,930,2096071.9300000002,1.0957192204551975,1.160783841867548,2.6699276057660715,-0.24547501152867146,25,0.4235260309775691,4.72872507323202,22.035137623140496,0.6222222222222222,242
COMBINED_v1,566,1335129.4499999997,0.3379109669001852,0.35241414075813426,2.0163477031114407,-0.0946721654915357,7,0.15990007093549125,3.722468361512681,11.301328059259259,0.8389830508474576,243
COMBINED_v1_2024,786,1751990.1500000004,0.755169991473553,0.7964495244117675,2.572544494287682,-0.16341226079941734,14,0.2979344093420594,4.8738663825805615,14.822780057851242,0.6769662921348315,242
P0_1_slippage_volume,625,1407487.4499999997,0.4104197125824587,0.4284985052623833,1.6535737585932393,-0.13800293681669,21,0.24099227699488998,3.1049955540552014,13.339322266666667,0.8280542986425339,243
P0_2_stop_loss,652,1499663.2799999998,0.4998117613643749,0.5224976633825051,2.062064220135097,-0.13716212980830048,21,0.23883720912932524,3.809343469022787,13.829400874074071,0.8438818565400844,243
P0_2_stop_loss_2024,944,1824477.3399999999,0.8241703321331018,0.8700499811071718,2.0960360211693443,-0.24608086956392244,37,0.40078031704747213,3.5356262461563106,24.90563994545455,0.5770171149144254,242
P0_3_fixed_base_value,695,1498194.54,0.4983428759447186,0.5209513618447352,2.075837069365117,-0.13546746657106687,21,0.2365076571230563,3.845582818007759,14.042504725925925,0.8392857142857143,243
P1_filters_concentration,394,1198190.7100000004,0.19830934262492028,0.20636549340713262,1.6352551210551498,-0.06535858753101567,7,0.10785197437163972,3.1574350242682745,8.810184340740742,0.8478260869565217,243
P1_signal_defense_2024,615,1164070.810000001,0.15571613803812334,0.1626482272820695,0.6141629571187742,-0.17231687830633757,71,0.21598213592099857,0.9438902844614006,19.595077854545455,0.5511811023622047,242
P1_signal_defense_2025,660,1436780.2499999993,0.43861016212622395,0.4581186643364583,2.6809460528705524,-0.08580132352972884,25,0.15968939914999838,5.339296009550799,19.36983605925926,0.7642857142857142,243
P1b_filters_relaxed,602,1390152.5700000003,0.39029020873066456,0.40736150116307024,2.3764091242637346,-0.08875772585263787,7,0.1587948376860341,4.589589213218485,11.62065437037037,0.8436213991769548,243
