tag,year,year_return,year_max_drawdown,year_max_drawdown_start,year_max_drawdown_end,year_trading_days,year_fills,year_buy_fills,year_sell_fills,year_gross_turnover,year_annualized_turnover,year_closed_trades,year_win_rate,year_expectancy,year_avg_return,year_profit_loss_ratio,year_avg_holding_days
r3_2024_202605_research,2024,1.095719220455197,-0.24547501152867146,2024-05-17,2024-06-24,242,930,570,360,21.1607274,50.78574576,730,0.7643835616438356,0.22886948082191783,0.22886948082191783,2.6523653027170258,54.18630136986302
r3_2024_202605_research,2025,0.4677389816484019,-0.14107194999849637,2025-11-17,2025-12-16,244,789,484,305,30.0531436,89.09873161411765,644,0.6816770186335404,0.11610388509316771,0.11610388509316771,2.1495673534048434,53.517080745341616
r3_2024_202605_research,2026,-0.12457966335675219,-0.1683256367843039,2026-02-10,2026-03-23,95,217,145,72,25.531333699999998,292.4498223818182,345,0.32463768115942027,-0.022358298550724638,-0.022358298550724638,1.0212490209634093,74.18840579710145
