date,code,action,target_value,target_qty,price,reason,phase_index,defense_flag,trade_id,rejection_reason
2025-06-16,300948.XSHE,sell,10300.0,1000,10.3,sell_phase,,False,t_4259,
2025-06-16,600768.XSHG,sell,16305.0,1500,10.87,sell_phase,,False,t_4260,
2025-06-16,300635.XSHE,sell,206010.0,18900,10.9,sell_phase,,False,t_4261,
2025-06-16,300405.XSHE,buy,14504.0,2800,5.18,buy_new,,False,t_4262,
2025-06-16,002193.XSHE,buy,23083.0,4100,5.63,buy_new,,False,t_4263,
2025-06-16,300665.XSHE,buy,752.0,100,7.52,buy_new,,False,t_4264,
2025-06-16,603729.XSHG,buy,108702.0,6600,16.47,buy_new,,False,t_4265,
2025-06-16,300736.XSHE,buy,10100.0,1000,10.1,buy_new,,False,t_4266,
2025-06-16,300929.XSHE,buy,3027.0,300,10.09,buy_new,,False,t_4267,
2025-06-16,301372.XSHE,buy,17680.0,800,22.1,buy_new,,False,t_4268,
2025-06-16,300649.XSHE,buy,53910.0,4500,11.98,buy_new,,False,t_4269,
2025-06-16,300736.XSHE,skip,0,0,0,skip_cash_insufficient,,False,,cash insufficient for even 1 lot.
2025-06-16,300929.XSHE,skip,0,0,0,skip_cash_insufficient,,False,,cash insufficient for even 1 lot.
2025-06-16,301372.XSHE,skip,0,0,0,skip_cash_insufficient,,False,,cash insufficient for even 1 lot.
2025-06-16,002719.XSHE,skip,0,0,0,skip_cash_insufficient,,False,,cash insufficient for even 1 lot.
