date,code,action,target_value,target_qty,price,reason,phase_index,defense_flag,trade_id,rejection_reason
2020-07-15,600561.XSHG,sell,28080.0,5400,5.2,sell_phase,,False,t_394,
2020-07-15,300029.XSHE,sell,1830.0,300,6.1,sell_phase,,False,t_395,
2020-07-15,002633.XSHE,buy,1718.0,200,8.59,buy_new,,False,t_396,
2020-07-15,002209.XSHE,sell,1362.0,200,6.81,sell_phase,,False,t_397,
2020-07-15,300665.XSHE,sell,1100.0,100,11.0,sell_phase,,False,t_398,
2020-07-15,000502.XSHE,buy,2884.0,400,7.21,buy_new,,False,t_399,
2020-07-15,603269.XSHG,sell,1464.0,100,14.64,sell_phase,,False,t_400,
2020-07-15,300535.XSHE,buy,26560.0,2000,13.28,buy_new,,False,t_401,
2020-07-15,300405.XSHE,buy,2592.0,400,6.48,buy_new,,False,t_402,
2020-07-15,002473.XSHE,sell,27000.0,3000,9.0,sell_phase,,False,t_403,
2020-07-15,600768.XSHG,buy,26700.0,2500,10.68,buy_new,,False,t_404,
2020-07-15,300405.XSHE,skip,0,0,0,skip_cash_insufficient,,False,,cash insufficient for even 1 lot.
