date,code,action,target_value,target_qty,price,reason,phase_index,defense_flag,trade_id,rejection_reason
2024-11-18,002629.XSHE,sell,158390.0,47000,3.37,sell_phase,,False,t_3802,
2024-11-18,000668.XSHE,sell,175592.0,18800,9.34,sell_phase,,False,t_3803,
2024-11-18,603272.XSHG,sell,199800.0,13500,14.8,sell_phase,,False,t_3804,
2024-11-18,600768.XSHG,buy,184888.0,19100,9.68,buy_new,,False,t_3805,
2024-11-18,300478.XSHE,sell,2120.0,200,10.6,sell_phase,,False,t_3806,
2024-11-18,300929.XSHE,buy,11736.0,1200,9.78,buy_new,,False,t_3807,
2024-11-18,300665.XSHE,buy,21545.0,3100,6.95,buy_new,,False,t_3808,
2024-11-18,002719.XSHE,sell,174447.0,21300,8.19,sell_phase,,False,t_3809,
2024-11-18,603880.XSHG,sell,1808.0,400,4.52,sell_phase,,False,t_3810,
2024-11-18,002856.XSHE,sell,3051.0,300,10.17,sell_phase,,False,t_3811,
2024-11-18,605303.XSHG,sell,174915.0,20700,8.45,sell_phase,,False,t_3812,
2024-11-18,002193.XSHE,buy,179280.0,36000,4.98,buy_new,,False,t_3813,
2024-11-18,001211.XSHE,buy,175655.0,9500,18.49,buy_new,,False,t_3814,
2024-11-18,603709.XSHG,buy,609099.0,57300,10.63,buy_new,,False,t_3815,
2024-11-18,002620.XSHE,buy,46368.0,12600,3.68,buy_new,,False,t_3816,
2024-11-18,301336.XSHE,skip,0,0,0,skip_cash_insufficient,,False,,cash insufficient for even 1 lot.
