date,code,action,target_value,target_qty,price,reason,phase_index,defense_flag,trade_id,rejection_reason
2020-02-06,002076.XSHE,sell,888.0,400,2.22,sell_phase,,False,t_13,
2020-02-06,600889.XSHG,sell,439.0,100,4.39,sell_phase,,False,t_14,
2020-02-06,300412.XSHE,sell,672.0,100,6.72,sell_phase,,False,t_15,
2020-02-06,300029.XSHE,buy,20254.0,3800,5.33,buy_new,,False,t_16,
2020-02-06,000679.XSHE,buy,19998.0,6600,3.03,buy_new,,False,t_17,
2020-02-06,002473.XSHE,buy,19894.0,2900,6.86,buy_new,,False,t_18,
2020-02-06,600561.XSHG,buy,19866.0,4300,4.62,buy_new,,False,t_19,
2020-02-06,300106.XSHE,buy,19950.0,3800,5.25,buy_new,,False,t_20,
2020-02-06,000929.XSHE,buy,19965.0,3300,6.05,buy_new,,False,t_21,
2020-02-06,300665.XSHE,buy,19509.0,2100,9.29,buy_new,,False,t_22,
2020-02-06,603991.XSHG,buy,19786.0,1300,15.22,buy_new,,False,t_23,
2020-02-06,000691.XSHE,buy,19950.0,5700,3.5,buy_new,,False,t_24,
2020-02-06,600241.XSHG,buy,20094.0,5100,3.94,buy_new,,False,t_25,
