date,code,action,target_value,target_qty,price,reason,phase_index,defense_flag,trade_id,rejection_reason
2021-03-31,002633.XSHE,sell,1890.0,300,6.3,sell_phase,,False,t_1028,
2021-03-31,600766.XSHG,buy,1720.0,400,4.3,buy_new,,False,t_1029,
2021-03-31,600768.XSHG,sell,10634.0,1300,8.18,sell_phase,,False,t_1030,
2021-03-31,300478.XSHE,buy,7416.0,900,8.24,buy_new,,False,t_1031,
2021-03-31,600355.XSHG,sell,3240.0,1500,2.16,sell_phase,,False,t_1032,
2021-03-31,600778.XSHG,sell,35814.0,9400,3.81,sell_phase,,False,t_1033,
2021-03-31,000502.XSHE,sell,31518.0,5100,6.18,sell_phase,,False,t_1034,
2021-03-31,603029.XSHG,sell,39060.0,3100,12.6,sell_phase,,False,t_1035,
2021-03-31,603269.XSHG,sell,1019.0,100,10.19,sell_phase,,False,t_1036,
2021-03-31,000609.XSHE,buy,39420.0,10800,3.65,buy_new,,False,t_1037,
2021-03-31,600766.XSHG,buy,13760.0,3200,4.3,buy_new,,False,t_1038,
2021-03-31,002862.XSHE,buy,30690.0,3300,9.3,buy_new,,False,t_1039,
2021-03-31,600561.XSHG,buy,29822.0,7400,4.03,buy_new,,False,t_1040,
