date,code,action,target_value,target_qty,price,reason,phase_index,defense_flag,trade_id,rejection_reason
2025-01-02,000668.XSHE,sell,854040.0,132000,6.47,sell_defense,,True,t_3974,
2025-01-02,600768.XSHG,sell,870400.0,102400,8.5,sell_defense,,True,t_3975,
2025-01-02,300478.XSHE,sell,881836.0,98200,8.98,sell_defense,,True,t_3976,
2025-01-02,300929.XSHE,sell,893987.0,108100,8.27,sell_defense,,True,t_3977,
2025-01-02,603813.XSHG,sell,700536.0,60600,11.56,sell_defense,,True,t_3978,
2025-01-02,300665.XSHE,sell,858750.0,137400,6.25,sell_defense,,True,t_3979,
2025-01-02,001211.XSHE,sell,336875.0,17500,19.25,sell_defense,,True,t_3980,
2025-01-02,300854.XSHE,sell,528260.0,43300,12.2,sell_defense,,True,t_3981,
2025-01-02,301273.XSHE,sell,751719.0,41100,18.29,sell_defense,,True,t_3982,
2025-01-02,301336.XSHE,sell,180098.0,3400,52.97,sell_defense,,True,t_3983,
2025-01-02,605081.XSHG,sell,701866.0,67100,10.46,sell_defense,,True,t_3984,
2025-01-02,000691.XSHE,sell,525133.0,153100,3.43,sell_defense,,True,t_3985,
2025-01-02,605303.XSHG,sell,410078.0,54100,7.58,sell_defense,,True,t_3986,
2025-01-02,511880.XSHG,buy,8476860.7,84700,100.081,buy_defense,,True,t_3987,
