date,code,action,target_value,target_qty,price,reason,phase_index,defense_flag,trade_id,rejection_reason
2020-02-24,600671.XSHG,sell,21471.0,1700,12.63,sell_phase,,False,t_69,
2020-02-24,300539.XSHE,sell,22196.0,3100,7.16,sell_phase,,False,t_70,
2020-02-24,600791.XSHG,sell,21924.0,6300,3.48,sell_phase,,False,t_71,
2020-02-24,002076.XSHE,sell,21436.0,9200,2.33,sell_phase,,False,t_72,
2020-02-24,300218.XSHE,sell,21840.0,2800,7.8,sell_phase,,False,t_73,
2020-02-24,600889.XSHG,sell,21666.0,4600,4.71,sell_phase,,False,t_74,
2020-02-24,600766.XSHG,sell,24030.0,2700,8.9,sell_phase,,False,t_75,
2020-02-24,603139.XSHG,sell,21420.0,1200,17.85,sell_phase,,False,t_76,
2020-02-24,603356.XSHG,sell,21920.0,1600,13.7,sell_phase,,False,t_77,
2020-02-24,300412.XSHE,sell,19750.0,2500,7.9,sell_phase,,False,t_78,
2020-02-24,300029.XSHE,buy,4354.0,700,6.22,buy_new,,False,t_79,
2020-02-24,000679.XSHE,buy,22208.0,6400,3.47,buy_new,,False,t_80,
2020-02-24,002473.XSHE,sell,807.0,100,8.07,sell_phase,,False,t_81,
2020-02-24,600561.XSHG,buy,21756.0,4200,5.18,buy_new,,False,t_82,
2020-02-24,300106.XSHE,buy,22686.0,3800,5.97,buy_new,,False,t_83,
2020-02-24,000929.XSHE,buy,21846.0,3300,6.62,buy_new,,False,t_84,
2020-02-24,300665.XSHE,buy,20480.0,2000,10.24,buy_new,,False,t_85,
2020-02-24,603991.XSHG,buy,20040.0,1200,16.7,buy_new,,False,t_86,
2020-02-24,000691.XSHE,buy,20670.0,5300,3.9,buy_new,,False,t_87,
2020-02-24,600241.XSHG,buy,21650.0,5000,4.33,buy_new,,False,t_88,
2020-02-24,300736.XSHE,sell,1001.0,100,10.01,sell_phase,,False,t_89,
2020-02-24,002633.XSHE,buy,31902.0,3900,8.18,buy_new,,False,t_90,
2020-02-24,603269.XSHG,buy,20850.0,1500,13.9,buy_new,,False,t_91,
