date,code,action,target_value,target_qty,price,reason,phase_index,defense_flag,trade_id,rejection_reason
2020-03-19,300029.XSHE,sell,563.0,100,5.63,sell_phase,,False,t_130,
2020-03-19,000679.XSHE,buy,1998.0,600,3.33,buy_new,,False,t_131,
2020-03-19,002473.XSHE,sell,28692.0,3600,7.97,sell_phase,,False,t_132,
2020-03-19,600561.XSHG,sell,488.0,100,4.88,sell_phase,,False,t_133,
2020-03-19,300106.XSHE,sell,2300.0,400,5.75,sell_phase,,False,t_134,
2020-03-19,300665.XSHE,buy,1948.0,200,9.74,buy_new,,False,t_135,
2020-03-19,603991.XSHG,sell,16821.0,900,18.69,sell_phase,,False,t_136,
2020-03-19,000691.XSHE,buy,1870.0,500,3.74,buy_new,,False,t_137,
2020-03-19,600241.XSHG,buy,778.0,200,3.89,buy_new,,False,t_138,
2020-03-19,002633.XSHE,buy,790.0,100,7.9,buy_new,,False,t_139,
2020-03-19,002209.XSHE,buy,21350.0,3500,6.1,buy_new,,False,t_140,
2020-03-19,000679.XSHE,buy,333.0,100,3.33,buy_new,,False,t_141,
2020-03-19,603389.XSHG,buy,21009.0,4700,4.47,buy_new,,False,t_142,
