date,code,side,jq_price,local_price,price_diff,jq_amount,local_amount,amount_diff,jq_value,local_value,value_diff,jq_commission,local_commission,commission_diff,match_status,diff_reason
2025-02-18,000691.XSHE,buy,3.27,3.27,0.0,6600,6600,0,21582.0,21582.0,0.0,5.0,5.0,0.0,exact_match,
2025-02-18,000929.XSHE,buy,6.6,6.6,0.0,3700,3700,0,24420.0,24420.0,0.0,5.0,5.0,0.0,exact_match,
2025-02-18,002620.XSHE,buy,3.62,3.62,0.0,5600,5600,0,20272.0,20272.0,0.0,5.0,5.0,0.0,exact_match,
2025-02-18,002848.XSHE,buy,7.06,7.06,0.0,2900,2900,0,20474.0,20474.0,0.0,5.0,5.0,0.0,exact_match,
2025-02-18,002848.XSHE,sell,7.36,7.35,-0.010000000000000675,0,600,600,0.0,4410.0,4410.0,9.42,5.0,-4.42,price_and_amount_diff,price and amount both differ
2025-02-18,002856.XSHE,buy,9.25,9.25,0.0,2400,2400,0,22200.0,22200.0,0.0,5.0,5.0,0.0,exact_match,
2025-02-18,300478.XSHE,sell,15.75,15.74,-0.009999999999999787,0,400,400,0.0,6296.0,6296.0,11.3,5.0,-6.300000000000001,price_and_amount_diff,price and amount both differ
2025-02-18,300929.XSHE,buy,9.24,9.24,0.0,2600,2600,0,24024.0,24024.0,0.0,5.0,5.0,0.0,exact_match,
2025-02-18,600193.XSHG,buy,3.9,3.9,0.0,200,200,0,780.0,780.0,0.0,5.0,5.0,0.0,exact_match,
2025-02-18,600421.XSHG,sell,8.36,8.3,-0.05999999999999872,0,1900,1900,0.0,15770.000000000002,15770.000000000002,20.88,5.0,-15.879999999999999,price_and_amount_diff,price and amount both differ
2025-02-18,600768.XSHG,buy,9.52,9.52,0.0,2200,2200,0,20944.0,20944.0,0.0,5.0,5.0,0.0,exact_match,
2025-02-18,603316.XSHG,buy,5.06,5.06,0.0,4200,4200,0,21252.0,21252.0,0.0,5.0,5.0,0.0,exact_match,
2025-02-18,603813.XSHG,sell,10.79,10.79,0.0,0,100,100,0.0,1079.0,1079.0,6.08,5.0,-1.08,amount_diff,fill quantity difference
2025-02-18,605081.XSHG,buy,10.01,10.01,0.0,2200,2200,0,22022.0,22022.0,0.0,5.0,5.0,0.0,exact_match,
2025-02-19,600421.XSHG,sell,9.08,9.08,0.0,0,500,500,0.0,4540.0,4540.0,9.54,5.0,-4.539999999999999,amount_diff,fill quantity difference
2025-02-20,603316.XSHG,sell,5.32,5.32,0.0,0,100,100,0.0,532.0,532.0,5.53,5.0,-0.5300000000000002,amount_diff,fill quantity difference
2025-02-20,603813.XSHG,sell,11.86,11.86,0.0,0,500,500,0.0,5930.0,5930.0,10.93,5.0,-5.93,amount_diff,fill quantity difference
2025-02-21,000668.XSHE,buy,5.92,5.92,0.0,3900,3900,0,23088.0,23088.0,0.0,5.0,5.0,0.0,exact_match,
2025-02-21,000691.XSHE,buy,3.17,3.17,0.0,7700,7700,0,24409.0,24409.0,0.0,5.0,5.0,0.0,exact_match,
2025-02-21,000929.XSHE,buy,6.77,6.77,0.0,2900,2900,0,19633.0,19633.0,0.0,5.0,5.0,0.0,exact_match,
2025-02-21,002620.XSHE,buy,3.52,3.52,0.0,600,600,0,2112.0,2112.0,0.0,5.0,5.0,0.0,exact_match,
2025-02-21,002848.XSHE,buy,6.96,6.96,0.0,3800,3800,0,26448.0,26448.0,0.0,5.0,5.0,0.0,exact_match,
2025-02-21,002856.XSHE,buy,9.14,9.14,0.0,2400,2400,0,21936.0,21936.0,0.0,5.0,5.0,0.0,exact_match,
2025-02-21,300929.XSHE,buy,9.24,9.24,0.0,2300,2300,0,21252.0,21252.0,0.0,5.0,5.0,0.0,exact_match,
2025-02-21,600193.XSHG,sell,4.09,4.08,-0.009999999999999787,0,300,300,0.0,1224.0,1224.0,6.23,5.0,-1.2300000000000004,price_and_amount_diff,price and amount both differ
2025-02-21,600421.XSHG,buy,7.77,7.77,0.0,1100,1100,0,8547.0,8547.0,0.0,5.0,5.0,0.0,exact_match,
2025-02-21,600753.XSHG,buy,5.68,5.68,0.0,3700,3700,0,21016.0,21016.0,0.0,5.0,5.0,0.0,exact_match,
2025-02-21,600768.XSHG,buy,9.66,9.66,0.0,2200,2200,0,21252.0,21252.0,0.0,5.0,5.0,0.0,exact_match,
2025-02-21,603813.XSHG,buy,12.18,12.18,0.0,1500,1500,0,18270.0,18270.0,0.0,5.0,5.0,0.0,exact_match,
2025-02-21,605081.XSHG,buy,9.78,9.78,0.0,2400,2400,0,23472.0,23472.0,0.0,5.0,5.0,0.0,exact_match,
2025-02-26,000691.XSHE,buy,3.12,3.12,0.0,500,500,0,1560.0,1560.0,0.0,5.0,5.0,0.0,exact_match,
2025-02-26,000929.XSHE,buy,6.73,6.73,0.0,100,100,0,673.0,673.0,0.0,5.0,5.0,0.0,exact_match,
2025-02-26,002620.XSHE,sell,3.58,3.58,0.0,0,6300,6300,0.0,22554.0,22554.0,27.55,5.0,-22.55,amount_diff,fill quantity difference
2025-02-26,002856.XSHE,buy,8.89,8.89,0.0,2600,2600,0,23114.0,23114.0,0.0,5.0,5.0,0.0,exact_match,
2025-02-26,300478.XSHE,buy,14.21,14.21,0.0,100,100,0,1421.0,1421.0,0.0,5.0,5.0,0.0,exact_match,
2025-02-26,300736.XSHE,buy,10.32,10.32,0.0,1600,1600,0,16512.0,16512.0,0.0,5.0,5.0,0.0,exact_match,
2025-02-26,300929.XSHE,buy,9.1,9.1,0.0,200,200,0,1820.0,1820.0,0.0,5.0,5.0,0.0,exact_match,
2025-02-26,600193.XSHG,sell,3.91,3.91,0.0,0,5200,5200,0.0,20332.0,20332.0,25.33,5.0,-20.33,amount_diff,fill quantity difference
2025-02-26,600421.XSHG,sell,7.18,7.18,0.0,0,2200,2200,0.0,15796.0,15796.0,20.8,5.0,-15.8,amount_diff,fill quantity difference
2025-02-26,600753.XSHG,buy,5.55,5.55,0.0,4000,4000,0,22200.0,22200.0,0.0,5.0,5.0,0.0,exact_match,
2025-02-26,600768.XSHG,buy,9.36,9.36,0.0,2500,2500,0,23400.0,23400.0,0.0,5.0,5.0,0.0,exact_match,
2025-02-26,603813.XSHG,sell,13.02,13.02,0.0,0,2000,2000,0.0,26040.0,26040.0,31.04,5.0,-26.04,amount_diff,fill quantity difference
2025-02-26,605081.XSHG,sell,10.2,10.2,0.0,0,400,400,0.0,4079.9999999999995,4079.9999999999995,9.08,5.0,-4.08,amount_diff,fill quantity difference
2025-02-28,603316.XSHG,sell,6.48,6.48,0.0,0,700,700,0.0,4536.0,4536.0,9.54,5.0,-4.539999999999999,amount_diff,fill quantity difference
2025-03-03,000929.XSHE,sell,6.76,6.76,0.0,0,100,100,0.0,676.0,676.0,5.68,5.0,-0.6799999999999997,amount_diff,fill quantity difference
2025-03-03,002620.XSHE,sell,3.59,3.59,0.0,0,6100,6100,0.0,21899.0,21899.0,26.9,5.0,-21.9,amount_diff,fill quantity difference
2025-03-03,002856.XSHE,buy,8.79,8.79,0.0,2500,2500,0,21974.999999999996,21974.999999999996,0.0,5.0,5.0,0.0,exact_match,
2025-03-03,300478.XSHE,sell,13.33,13.33,0.0,0,1500,1500,0.0,19995.0,19995.0,25.0,5.0,-20.0,amount_diff,fill quantity difference
2025-03-03,300929.XSHE,buy,8.85,8.85,0.0,200,200,0,1770.0,1770.0,0.0,5.0,5.0,0.0,exact_match,
2025-03-03,600421.XSHG,sell,7.03,7.03,0.0,0,3000,3000,0.0,21090.0,21090.0,26.09,5.0,-21.09,amount_diff,fill quantity difference
2025-03-03,600753.XSHG,buy,5.29,5.29,0.0,4200,4200,0,22218.0,22218.0,0.0,5.0,5.0,0.0,exact_match,
2025-03-03,600768.XSHG,buy,9.38,9.38,0.0,2200,2200,0,20636.0,20636.0,0.0,5.0,5.0,0.0,exact_match,
2025-03-03,603813.XSHG,sell,14.08,14.08,0.0,0,1900,1900,0.0,26752.0,26752.0,31.75,5.0,-26.75,amount_diff,fill quantity difference
2025-03-03,605081.XSHG,buy,9.9,9.9,0.0,200,200,0,1980.0,1980.0,0.0,5.0,5.0,0.0,exact_match,
2025-03-06,000668.XSHE,buy,5.65,5.65,0.0,500,500,0,2825.0,2825.0,0.0,5.0,5.0,0.0,exact_match,
2025-03-06,000691.XSHE,sell,3.13,3.13,0.0,0,500,500,0.0,1565.0,1565.0,6.56,5.0,-1.5599999999999996,amount_diff,fill quantity difference
2025-03-06,000929.XSHE,buy,6.47,6.47,0.0,500,500,0,3235.0,3235.0,0.0,5.0,5.0,0.0,exact_match,
2025-03-06,002620.XSHE,sell,3.72,3.72,0.0,0,6200,6200,0.0,23064.0,23064.0,28.06,5.0,-23.06,amount_diff,fill quantity difference
2025-03-06,002848.XSHE,buy,6.74,6.74,0.0,300,300,0,2022.0,2022.0,0.0,5.0,5.0,0.0,exact_match,
2025-03-06,002856.XSHE,sell,9.04,9.04,0.0,0,300,300,0.0,2711.9999999999995,2711.9999999999995,7.71,5.0,-2.71,amount_diff,fill quantity difference
2025-03-06,300736.XSHE,buy,9.84,9.84,0.0,4800,4800,0,47232.0,47232.0,0.0,5.0,5.0,0.0,exact_match,
2025-03-06,300929.XSHE,sell,9.05,9.05,0.0,0,200,200,0.0,1810.0000000000002,1810.0000000000002,6.81,5.0,-1.8099999999999996,amount_diff,fill quantity difference
2025-03-06,600421.XSHG,sell,6.78,6.78,0.0,0,3100,3100,0.0,21018.0,21018.0,26.02,5.0,-21.02,amount_diff,fill quantity difference
2025-03-06,600753.XSHG,buy,5.3,5.3,0.0,4100,4100,0,21730.0,21730.0,0.0,5.0,5.0,0.0,exact_match,
2025-03-06,600768.XSHG,buy,9.68,9.68,0.0,1800,1800,0,17424.0,17424.0,0.0,5.0,5.0,0.0,exact_match,
