period,research_tag,jq_parity_tag,research_total_return,jq_total_return,delta_total_return,research_cagr,jq_cagr,delta_cagr,research_max_drawdown,jq_max_drawdown,delta_max_drawdown,research_sharpe,jq_sharpe,delta_sharpe,research_fills,jq_fills,delta_fills,research_closed_trades,jq_closed_trades,delta_closed_trades,research_win_rate,jq_win_rate,delta_win_rate,research_expectancy,jq_expectancy,delta_expectancy,research_annualized_turnover,jq_annualized_turnover,delta_turnover,research_fill_rate,jq_fill_rate,delta_fill_rate
2020-2021,r3_2020_2021_research,r4_2020_2021_jq_parity,1.2123316254183587,1.2123316254183587,0.0,0.5094239239292873,0.5094239239292873,0.0,-0.14870727645042003,-0.14870727645042003,0.0,2.102697438338989,2.102697438338989,0.0,1595,1595,0,1321,1321,0,0.712339137017411,0.712339137017411,0.0,0.09334892342568142,0.09334892342568142,0.0,20.547625466666666,20.547625466666666,0.0,0.8640303358613218,0.8640303358613218,0.0
2022-2023,r3_2022_2023_research,r4_2022_2023_jq_parity,1.0218116781287736,1.0218116781287736,0.0,0.44273745601523773,0.44273745601523773,0.0,-0.11977036699075094,-0.11977036699075094,0.0,1.9965435198085622,1.9965435198085622,0.0,1321,1321,0,1075,1075,0,0.746046511627907,0.746046511627907,0.0,0.10696033533341537,0.10696033533341537,0.0,18.38211021818182,18.38211021818182,0.0,0.7191072400653239,0.7191072400653239,0.0
2024-2026M05,r3_2024_202605_research,r4_2024_202605_jq_parity,1.6927656375432023,1.6927656375432023,0.0,0.5389931169960516,0.5389931169960516,0.0,-0.24547501152867146,-0.24547501152867146,0.0,1.5364144333603806,1.5364144333603806,0.0,1936,1936,0,1719,1719,0,0.6451425247236765,0.6451425247236765,0.0,0.13620245261453753,0.13620245261453753,0.0,33.40205800414507,33.40205800414507,0.0,0.8987929433611885,0.8987929433611885,0.0
full_2020-2026M05,r3_full_2020_202605_research,r4_full_2020_202605_jq_parity,10.286476717163493,10.286476717163493,0.0,0.4833242507170843,0.4833242507170843,0.0,-0.23198943367387326,-0.23198943367387326,0.0,1.7564793387389017,1.7564793387389017,0.0,5005,5005,0,4537,4537,0,0.6980383513334802,0.6980383513334802,0.0,0.10665914961352235,0.10665914961352235,0.0,71.2649138083925,71.2649138083925,0.0,0.7739291789083037,0.7739291789083037,0.0
