tag,engine_mode,start_date,end_date,trading_days,ending_value,total_return,annual_return_cagr,max_drawdown,max_drawdown_start,max_drawdown_end,sharpe_annualized,gross_turnover,annualized_gross_turnover,number_of_fills,number_of_closed_trades,win_rate,average_return,profit_loss_ratio,expectancy_per_trade,average_holding_days,orders_submitted,orders_filled,orders_rejected,fill_rate
r2_window1_research,research,2024-05-01,2024-06-10,25,856452.69,-0.14895485087752425,-0.8032466143570676,-0.22690667758606242,2024-05-17,2024-06-06,-1.8277796585506803,1.479843,14.91681744,99,31,0.41935483870967744,-0.019990901081666214,0.6796248592547425,-0.019990901081666214,21.93548387096774,107,99,8,0.9252336448598131
r2_window1_jq_parity,jq_parity,2024-05-01,2024-06-10,25,856452.69,-0.14895485087752425,-0.8032466143570676,-0.22690667758606242,2024-05-17,2024-06-06,-1.8277796585506803,1.479843,14.91681744,99,31,0.41935483870967744,-0.019990901081666214,0.6796248592547425,-0.019990901081666214,21.93548387096774,107,99,8,0.9252336448598131
r2_window2_research,research,2025-02-01,2025-03-31,39,1000507.64,-0.00800467191033738,-0.05060526415781119,-0.11623992878953338,2025-03-20,2025-03-31,-0.3000441144420864,2.184101,14.112652615384617,158,75,0.9333333333333333,0.1701365461540685,3.137746594496186,0.1701365461540685,21.88,176,158,18,0.8977272727272727
r2_window2_jq_parity,jq_parity,2025-02-01,2025-03-31,39,1000507.64,-0.00800467191033738,-0.05060526415781119,-0.11623992878953338,2025-03-20,2025-03-31,-0.3000441144420864,2.184101,14.112652615384617,158,75,0.9333333333333333,0.1701365461540685,3.137746594496186,0.1701365461540685,21.88,176,158,18,0.8977272727272727
r2_window3_research,research,2026-05-01,2026-05-28,17,933795.26,-0.06728761907425473,-0.6439141149650358,-0.07490525606669274,2026-05-14,2026-05-28,-2.980227249991466,1.151735,17.072777647058825,63,6,0.5,0.04995367747136783,5.144325657760747,0.04995367747136783,18.833333333333332,63,63,0,1.0
r2_window3_jq_parity,jq_parity,2026-05-01,2026-05-28,17,933795.26,-0.06728761907425473,-0.6439141149650358,-0.07490525606669274,2026-05-14,2026-05-28,-2.980227249991466,1.151735,17.072777647058825,63,6,0.5,0.04995367747136783,5.144325657760747,0.04995367747136783,18.833333333333332,63,63,0,1.0
r2_missing_202606_research,research,2026-06-01,2026-06-30,19,928977.0,-0.07774073647551238,-0.6581464169705785,-0.07777548337906692,2026-06-01,2026-06-24,-3.1047481162646817,0.812011,10.769830105263159,53,0,,,,,,87,53,34,0.6091954022988506
