year,research_year_return,jq_year_return,delta_year_return,research_year_max_drawdown,jq_year_max_drawdown,delta_year_max_drawdown,research_fills,jq_fills,delta_fills,research_closed_trades,jq_closed_trades,delta_closed_trades,research_win_rate,jq_win_rate,delta_win_rate,research_expectancy,jq_expectancy,delta_expectancy,research_annualized_turnover,jq_annualized_turnover,delta_turnover
2020,0.322901632916839,0.322901632916839,0.0,-0.1467106710849184,-0.1467106710849184,0.0,858,858,0,662,662,0,0.7250755287009063,0.7250755287009063,0.0,0.1034020996978852,0.1034020996978852,0.0,45.96023433750001,45.96023433750001,0.0
2021,0.6723326741538851,0.6723326741538851,0.0,-0.14870727645042,-0.14870727645042,0.0,737,737,0,659,659,0,0.6995447647951442,0.6995447647951442,0.0,0.0832499863429438,0.0832499863429438,0.0,64.81352884186046,64.81352884186046,0.0
2022,0.4441315835578077,0.4441315835578077,0.0,-0.1179388798098811,-0.1179388798098811,0.0,748,748,0,646,646,0,0.871517027863777,0.871517027863777,0.0,0.1094780820433436,0.1094780820433436,0.0,105.38859329999998,105.38859329999998,0.0
2023,0.4020374412426488,0.4020374412426488,0.0,-0.0879228532768402,-0.0879228532768402,0.0,718,718,0,711,711,0,0.6455696202531646,0.6455696202531646,0.0,0.1009264374120956,0.1009264374120956,0.0,127.15068951529412,127.15068951529412,0.0
2024,0.9685875655767135,0.9685875655767135,0.0,-0.2319894336738732,-0.2319894336738732,0.0,912,912,0,844,844,0,0.7559241706161137,0.7559241706161137,0.0,0.1827121113744076,0.1827121113744076,0.0,226.6879720543689,226.6879720543689,0.0
2025,0.4600325160927032,0.4600325160927032,0.0,-0.1368034848453774,-0.1368034848453774,0.0,799,799,0,640,640,0,0.6859375,0.6859375,0.0,0.1109566375,0.1109566375,0.0,369.9888072,369.9888072,0.0
2026,-0.1233534681823268,-0.1233534681823268,0.0,-0.165600095733009,-0.165600095733009,0.0,233,233,0,375,375,0,0.3386666666666666,0.3386666666666666,0.0,-0.018944496,-0.018944496,0.0,1196.1288245454546,1196.1288245454546,0.0
