tag,scenario,cost_rate,cagr,max_drawdown,max_drawdown_start,max_drawdown_end,volatility,sharpe,calmar,total_return,ending_value,total_round_trip_cost
r3_2020_2021_research,gross,0.0,0.5094239239292873,-0.14870727645042003,2021-09-08,2021-10-28,0.22800423645734058,2.102697438338989,3.425682563012527,1.2123316254183587,2212484.9400000004,0.0
r3_2020_2021_research,cost_10bp,0.001,0.4961136782532696,-0.15198917814960022,2021-09-08,2021-10-28,0.23077738531586464,2.0197545683052978,3.2641381728175,1.1748620543937207,2172857.3766000005,39627.563400000014
r3_2020_2021_research,cost_20bp,0.002,0.48266579026506706,-0.15850712172354442,2020-09-08,2021-02-08,0.23368079082948745,1.9371116840980263,3.045073211958858,1.137318072644573,2133229.8132,79255.12680000003
r3_2020_2021_research,cost_30bp,0.003,0.46907659931667056,-0.1664197147282428,2020-09-08,2021-02-08,0.23672057743807054,1.8548307209648438,2.81863600164593,1.0996994582925042,2093602.2498000003,118882.69020000006
r3_2020_2021_research,cost_50bp,0.005,0.44145880388034464,-0.1826490619512673,2020-09-08,2021-02-08,0.24323606978855677,1.691602747232442,2.4169782158428523,1.0242374398465057,2014347.1230000004,198137.81700000004
r3_2022_2023_research,gross,0.0,0.44273745601523773,-0.11977036699075094,2022-03-03,2022-03-15,0.20672600016994014,1.9965435198085622,3.696552554184186,1.0218116781287736,2021851.7100000004,0.0
r3_2022_2023_research,cost_10bp,0.001,0.43030337486928905,-0.1203132858401268,2022-03-03,2022-03-15,0.2093180831401587,1.9124165904063204,3.576524170747688,0.9884778526087059,1986546.3872000005,35305.3228
r3_2022_2023_research,cost_20bp,0.002,0.41774397591405243,-0.12085936238850781,2022-03-03,2022-03-15,0.212039487958123,1.8286404086706265,3.4564469616445255,0.9550778209462767,1951241.0644000005,70610.6456
r3_2022_2023_research,cost_30bp,0.003,0.40505602115775097,-0.12552654999678658,2022-12-09,2023-06-26,0.21489622422233215,1.7452890227132007,3.2268553638104462,0.9216113857019281,1915935.7416000005,105915.96839999995
r3_2022_2023_research,cost_50bp,0.005,0.3792807513869507,-0.14713252347245231,2022-12-09,2023-06-26,0.22104203211567783,1.580155357982602,2.5778172115559728,0.8544785107760648,1845325.0960000004,176526.61400000003
r3_2024_202605_research,gross,0.0,0.5389931169960516,-0.24547501152867146,2024-05-17,2024-06-24,0.3312863417214868,1.5364144333603806,2.195714804694478,1.6927656375432023,2693218.830000001,0.0
r3_2024_202605_research,cost_10bp,0.001,0.5204059806657593,-0.24812800647909927,2024-05-17,2024-06-24,0.3348271780818261,1.464654044738006,2.0973286653540053,1.6186277886489537,2616473.625300001,76745.20469999997
r3_2024_202605_research,cost_20bp,0.002,0.5014813984553297,-0.2512372183786812,2025-11-17,2026-03-23,0.33852110240724514,1.3927681172683044,1.996047407671359,1.5443427418761693,2539728.4206000012,153490.40939999995
r3_2024_202605_research,cost_30bp,0.003,0.48220356375295026,-0.2598041170802494,2025-11-17,2026-03-23,0.34237721386435455,1.320775873630736,1.8560274147003033,1.469910058405537,2462983.215900001,230235.6141
r3_2024_202605_research,cost_50bp,0.005,0.44251842906579864,-0.27773343876082046,2025-11-17,2026-03-23,0.35061683889083545,1.1765505341123568,1.5933206712170094,1.320600017354868,2309492.8065000013,383726.0234999998
r3_full_2020_202605_research,gross,0.0,0.4833242507170843,-0.23198943367387326,2024-05-17,2024-06-24,0.258086867701249,1.7564793387389017,2.0833890710580087,10.286476717163493,11287258.869999994,0.0
r3_full_2020_202605_research,cost_10bp,0.001,0.47404076918600535,-0.2393710448132773,2024-05-17,2024-06-24,0.26432174806771397,1.6799252139943133,1.9803596945310717,9.859215363145443,10849205.887899993,438052.98209999996
r3_full_2020_202605_research,cost_20bp,0.002,0.46442685938780515,-0.24919948468015318,2025-11-17,2026-03-23,0.2709666305010072,1.60324855715468,1.863675039231705,9.431105511905841,10411152.905799994,876105.9641999999
r3_full_2020_202605_research,cost_30bp,0.003,0.4544565592907104,-0.26016937613206215,2025-11-17,2026-03-23,0.27805999784189644,1.5264927087140894,1.7467719146930958,9.002144633389802,9973099.923699994,1314158.9463000004
r3_full_2020_202605_research,cost_50bp,0.005,0.43332587118478183,-0.283809264084258,2025-11-17,2026-03-23,0.2937735938216869,1.372913970714435,1.5268207420323494,8.14165962391448,9096993.959499994,2190264.910499999
