tag,scenario,type,cagr,max_drawdown,max_drawdown_start,max_drawdown_end,sharpe,calmar,final_value,drawdown_reduction,return_sacrifice,pass_20pct_drawdown,recommended
r3_2020_2021_research,pos_100,position_scaling,0.5081483396045756,-0.1487072764504198,2021-09-09,2021-10-29,2.0992320873717065,3.4171047425106753,2212484.939999997,-2.220446049250313e-16,0.0012755843247116427,True,True
r3_2020_2021_research,pos_80,position_scaling,0.3950264351922752,-0.12026091460544486,2021-09-09,2021-10-29,2.0032360828865254,3.2847449771048907,1903011.4144117539,-0.028446361844975177,0.11439748873701205,True,True
r3_2020_2021_research,pos_60,position_scaling,0.28767583993705936,-0.09116900303708264,2021-09-09,2021-10-29,1.8854727237425524,3.1554128086719158,1630180.1688355429,-0.05753827341333739,0.2217480839922279,True,True
r3_2020_2021_research,pos_50,position_scaling,0.23616377592290783,-0.07638022695608249,2021-09-09,2021-10-29,1.8102566832250775,3.091949125245445,1506505.2329910456,-0.07232704949433755,0.27326014800637943,True,False
r3_2020_2021_research,dd_breaker_10pct,drawdown_circuit_breaker,0.40087807496365513,-0.13100456388062043,2021-09-09,2021-10-29,1.8429753726937126,3.0600313690518472,1918467.9962841112,-0.017702712569799606,0.10854584896563213,True,True
r3_2020_2021_research,dd_breaker_8pct,drawdown_circuit_breaker,0.3864021166553824,-0.12157934597662323,2021-09-09,2021-10-29,1.8311217937620698,3.1781888079055647,1880341.0605741108,-0.027127930473796802,0.12302180727390488,True,True
r3_2020_2021_research,monthly_loss_8pct,monthly_loss_protection,0.5002952412462562,-0.15167190652074325,2020-09-09,2021-02-09,2.073421829495588,3.2985359828508116,2190274.8723112475,0.0029646300703232153,0.00912868268303102,True,True
r3_2022_2023_research,pos_100,position_scaling,0.4416475084827105,-0.11977036699075094,2022-03-04,2022-03-16,1.9933025866275782,3.687452243649015,2021851.7100000058,0.0,0.0010899475325272245,True,True
r3_2022_2023_research,pos_80,position_scaling,0.34455236263947064,-0.09661197900905583,2022-03-04,2022-03-16,1.9039288018228306,3.5663523941184807,1767948.815247292,-0.023158387981695117,0.09818509337576709,True,True
r3_2022_2023_research,pos_60,position_scaling,0.25185041165490585,-0.07305762811007521,2022-03-04,2022-03-16,1.7904274501991395,3.4472842627116953,1540842.7806367902,-0.04671273888067573,0.19088704436033188,True,True
r3_2022_2023_research,pos_50,position_scaling,0.2071477903504484,-0.061131360523468126,2022-03-04,2022-03-16,1.7155898745624973,3.388568299096256,1436696.4166137725,-0.05863900646728282,0.23558966566478934,True,False
r3_2022_2023_research,dd_breaker_10pct,drawdown_circuit_breaker,0.3045393533903804,-0.11977036699075094,2022-03-04,2022-03-16,1.4429111754767634,2.5426936649020866,1668083.7949230727,0.0,0.13819810262485732,True,True
r3_2022_2023_research,dd_breaker_8pct,drawdown_circuit_breaker,0.283866158961116,-0.10698299526849453,2022-08-17,2022-10-11,1.4150540043762834,2.6533764384582703,1617581.075408733,-0.012787371722256413,0.15887129705412173,True,True
r3_2022_2023_research,monthly_loss_8pct,monthly_loss_protection,0.4416475084827105,-0.11977036699075094,2022-03-04,2022-03-16,1.9933025866275782,3.687452243649015,2021851.7100000058,0.0,0.0010899475325272245,True,True
