tag,engine_mode,start_date,end_date,trading_days,ending_value,total_return,annual_return_cagr,max_drawdown,max_drawdown_start,max_drawdown_end,sharpe_annualized,calmar,volatility_annualized,gross_turnover,annualized_gross_turnover,number_of_fills,number_of_buy_fills,number_of_sell_fills,number_of_closed_trades,win_rate,average_return,median_return,profit_loss_ratio,expectancy_per_trade,average_holding_days,orders_submitted,orders_filled,orders_rejected,fill_rate,rejection_reasons
r4_2020_2021_jq_parity,jq_parity,2020-01-01,2021-12-31,486,2212484.9400000004,1.2123316254183587,0.5094239239292873,-0.14870727645042003,2021-09-08,2021-10-28,2.102697438338989,3.425682563012527,0.22800423645734058,39.6275634,20.547625466666666,1595,954,641,1321,0.712339137017411,0.09334892342568142,0.0813226094727435,1.925377965407874,0.09334892342568142,55.83800151400454,1846,1595,251,0.8640303358613218,"{'cash insufficient for even 1 lot.': 246, 'available cash is too low.': 2, 'sell amount 3000 exceeds closeable amount 2300': 1, 'limit down': 2}"
r4_2022_2023_jq_parity,jq_parity,2022-01-01,2023-12-31,484,2021851.7100000004,1.0218116781287736,0.44273745601523773,-0.11977036699075094,2022-03-03,2022-03-15,1.9965435198085622,3.696552554184186,0.20672600016994014,35.3053228,18.38211021818182,1321,797,524,1075,0.746046511627907,0.10696033533341537,0.05972696245733777,3.6896784469173243,0.10696033533341537,57.74976744186046,1837,1321,516,0.7191072400653239,"{'cash insufficient for even 1 lot.': 506, 'limit down': 3, 'available cash is too low.': 7}"
r4_2024_202605_jq_parity,jq_parity,2024-01-01,2026-05-28,579,2693218.830000001,1.6927656375432023,0.5389931169960516,-0.24547501152867146,2024-05-17,2024-06-24,1.5364144333603806,2.195714804694478,0.3312863417214868,76.74520469999999,33.40205800414507,1936,1199,737,1719,0.6451425247236765,0.13620245261453753,0.069672131147541,2.7637158254202734,0.13620245261453753,57.9499709133217,2154,1936,218,0.8987929433611885,"{'cash insufficient for even 1 lot.': 216, 'limit down': 2}"
r4_full_2020_202605_jq_parity,jq_parity,2020-01-01,2026-05-28,1549,11287258.869999994,10.286476717163493,0.4833242507170843,-0.23198943367387326,2024-05-17,2024-06-24,1.7564793387389017,2.0833890710580087,0.258086867701249,438.0529821,71.2649138083925,5005,2977,2028,4537,0.6980383513334802,0.10665914961352235,0.06382978723404253,2.3913689236226428,0.10665914961352235,59.30923517743002,6467,5005,1462,0.7739291789083037,"{'cash insufficient for even 1 lot.': 1452, 'available cash is too low.': 2, 'sell amount 3000 exceeds closeable amount 2300': 1, 'limit down': 6, 'limit up': 1}"
