date,security,type
2026-06-09,300535.XSHE,LOCAL_EXTRA_TRADE
2026-06-09,301098.XSHE,LOCAL_EXTRA_TRADE
2026-06-10,600561.XSHG,LOCAL_EXTRA_TRADE
2026-06-12,301098.XSHE,AMOUNT_ONLY_DIFFERENCE
2026-06-12,300417.XSHE,AMOUNT_ONLY_DIFFERENCE
2026-06-12,300405.XSHE,JQ_MISSING_LOCALLY
2026-06-12,600697.XSHG,AMOUNT_ONLY_DIFFERENCE
2026-06-12,600493.XSHG,AMOUNT_ONLY_DIFFERENCE
2026-06-12,603879.XSHG,AMOUNT_ONLY_DIFFERENCE
2026-06-12,300605.XSHE,JQ_MISSING_LOCALLY
2026-06-12,301167.XSHE,LOCAL_EXTRA_TRADE
2026-06-12,301098.XSHE,LOCAL_EXTRA_TRADE
2026-06-12,600455.XSHG,LOCAL_EXTRA_TRADE
2026-06-12,600561.XSHG,LOCAL_EXTRA_TRADE
2026-06-12,600493.XSHG,LOCAL_EXTRA_TRADE
2026-06-17,301098.XSHE,JQ_MISSING_LOCALLY
2026-06-17,300417.XSHE,JQ_MISSING_LOCALLY
2026-06-17,603879.XSHG,JQ_MISSING_LOCALLY
2026-06-17,300605.XSHE,JQ_MISSING_LOCALLY
2026-06-17,300886.XSHE,JQ_MISSING_LOCALLY
2026-06-17,300417.XSHE,JQ_MISSING_LOCALLY
2026-06-17,300405.XSHE,JQ_MISSING_LOCALLY
2026-06-23,301098.XSHE,JQ_MISSING_LOCALLY
2026-06-23,300929.XSHE,JQ_MISSING_LOCALLY
2026-06-23,300417.XSHE,JQ_MISSING_LOCALLY
2026-06-23,300405.XSHE,JQ_MISSING_LOCALLY
2026-06-23,300535.XSHE,JQ_MISSING_LOCALLY
2026-06-23,603879.XSHG,JQ_MISSING_LOCALLY
2026-06-23,300605.XSHE,JQ_MISSING_LOCALLY
2026-06-23,300886.XSHE,JQ_MISSING_LOCALLY
2026-06-23,600493.XSHG,JQ_MISSING_LOCALLY
2026-06-23,300405.XSHE,JQ_MISSING_LOCALLY
2026-06-23,600697.XSHG,JQ_MISSING_LOCALLY
